	D36E_col_1	D36E_col_2	D36E_col_3	D36E_vitro_1	D36E_vitro_2	D36E_vitro_3
PSPTOA0002	0	0	0	0	0	0
PSPTOA0004	0	0	0	0	0	0
PSPTOA0005	0	0	0	0	0	0
PSPTOA0007	0	0	0	0	0	0
PSPTOA0008	0	0	0	0	0	0
PSPTOA0009	0	0	0	0	0	0
PSPTOA0010	0	0	0	0	0	0
PSPTOA0011	0	0	0	0	0	0
PSPTOA0012	0	0	0	0	0	0
PSPTOA0013	0	0	0	0	0	0
PSPTOA0014	0	0	0	0	0	0
PSPTOA0015	0	0	0	0	0	0
PSPTOA0017	0	0	0	0	0	0
PSPTOA0018	0	0	0	0	0	0
PSPTOA0019	0	0	0	0	0	0
PSPTOA0021	0	0	0	0	0	0
PSPTOA0022	0	0	0	0	0	0
PSPTOA0023	0	0	0	0	0	0
PSPTOA0024	0	0	0	0	0	0
PSPTOA0025	0	0	0	0	0	0
PSPTOA0026	0	0	0	0	0	0
PSPTOA0027	0	0	0	0	0	0
PSPTOA0028	0	0	0	0	0	0
PSPTOA0029	0	0	0	0	0	0
PSPTOA0030	0	0	0	0	0	0
PSPTOA0031	0	0	0	0	0	0
PSPTOA0032	0	0	0	0	0	0
PSPTOA0033	0	0	0	0	0	0
PSPTOA0034	0	0	0	0	0	0
PSPTOA0035	0	0	0	0	0	0
PSPTOA0036	0	0	0	0	0	0
PSPTOA0037	0	0	0	0	0	0
PSPTOA0038	0	0	0	0	0	0
PSPTOA0039	0	0	0	0	0	0
PSPTOA0040	0	0	0	0	0	0
PSPTOA0041	0	0	0	0	0	0
PSPTOA0042	0	0	0	0	0	0
PSPTOA0043	0	0	0	0	0	0
PSPTOA0044	0	0	0	0	0	0
PSPTOA0045	0	0	0	0	0	0
PSPTOA0046	0	0	0	0	0	0
PSPTOA0047	0	0	0	0	0	0
PSPTOA0048	0	0	0	0	0	0
PSPTOA0049	0	0	0	0	0	0
PSPTOA0050	0	0	0	0	0	0
PSPTOA0051	0	0	0	0	0	0
PSPTOA0052	0	0	0	0	0	0
PSPTOA0053	0	0	0	0	0	0
PSPTOA0054	0	0	0	0	0	0
PSPTOA0055	0	0	0	0	0	0
PSPTOA0056	0	0	0	0	0	0
PSPTOA0057	0	0	0	0	0	0
PSPTOA0058	0	0	0	0	0	0
PSPTOA0059	0	0	0	0	0	0
PSPTOA0060	0	0	0	0	0	0
PSPTOA0061	0	0	0	0	0	0
PSPTOA0062	0	0	0	0	0	0
PSPTOA0063	0	0	0	0	0	0
PSPTOA0064	0	0	0	0	0	0
PSPTOA0065	0	0	0	0	0	0
PSPTOA0066	0	0	0	0	0	0
PSPTOA0067	0	0	0	0	0	0
PSPTOA0068	0	0	0	0	0	0
PSPTOA0069	0	0	0	0	0	0
PSPTOA0070	0	0	0	0	0	0
PSPTOA0071	0	0	0	0	0	0
PSPTO_0001-chromosomal replication initiation protein 	76	194	833	2195	1393	2011
PSPTO_0002-DNA polymerase III subunit beta 	31	40	224	1559	1340	1482
PSPTO_0003-DNA replication and repair protein RecF 	61	60	173	283	164	253
PSPTO_0004-DNA gyrase subunit B 	71	167	421	725	734	709
"PSPTO_0005-type I restriction-modification system, M subunit "	3	23	35	121	154	149
"PSPTO_0006-type I restriction-modification system, S subunit, EcoA family "	3	0	35	81	46	82
PSPTO_0007-hypothetical protein 	0	0	6	22	18	41
PSPTO_0008-HsdR family type I site-specific deoxyribonuclease 	11	29	68	220	203	199
"PSPTO_0009-ISPsy3, transposase "	0	0	0	0	0	0
PSPTO_0011-hypothetical protein 	28	63	192	323	215	328
PSPTO_0012-hypothetical protein 	6	8	24	87	84	58
PSPTO_0013-hypothetical protein 	0	0	0	23	9	16
PSPTO_0014-hypothetical protein 	0	0	0	4	0	0
PSPTO_0015-hypothetical protein 	3	14	47	53	44	53
PSPTO_0016-hypothetical protein 	10	19	58	127	140	216
PSPTO_0017-helicase/SNF2 family domain protein 	3	9	27	136	90	107
"PSPTO_0018-ISPsy4, transposition helper protein "	0	0	5	0	0	2
"PSPTO_0019-ISPsy4, transposase "	0	0	0	0	0	0
PSPTO_0020-hypothetical protein 	0	0	2	10	10	20
PSPTO_0021-hypothetical protein 	19	46	149	510	440	695
PSPTO_0022-DNA-binding protein 	9	20	46	115	113	162
PSPTO_0023-hypothetical protein 	9	4	49	74	79	55
PSPTO_0024-hypothetical protein 	0	0	10	15	13	3
PSPTO_0025-haloacid dehalogenase-like family hydrolase 	1	5	71	83	61	98
PSPTO_0026-hypothetical protein 	6	10	29	93	77	76
PSPTO_0027-hypothetical protein 	0	0	6	40	27	13
PSPTO_0028-transposase 	0	0	10	42	36	31
PSPTO_0029-transposition helper protein 	0	1	3	30	34	75
PSPTO_0030-hypothetical protein 	3	2	24	56	53	89
PSPTO_0031-Ser/Thr protein phosphatase family protein 	0	0	1	8	12	2
PSPTO_0032-hypothetical protein 	5	8	18	7	18	14
PSPTO_0033-ParB family protein 	3	0	0	10	3	8
PSPTO_0034-recombinase 	0	0	0	2	8	0
"PSPTO_0035-ISPsy5, transposase "	6	7	20	87	53	68
"PSPTO_0036-ISPsy5, Orf1 "	0	0	0	0	0	0
PSPTO_0037-helicase domain-containing protein 	64	163	422	1187	800	1018
PSPTO_0038-hypothetical protein 	1	7	27	157	132	120
"PSPTO_0039-ISPsy5, transposase "	0	3	11	9	13	9
"PSPTO_0040-ISPsy5, Orf1 "	0	0	18	2	12	4
PSPTO_0041-hypothetical protein 	5	0	2	10	17	20
PSPTO_0043-cytidine/deoxycytidylate deaminase family protein 	31	67	317	522	781	776
PSPTO_0044-type III effector HopK1 	0	0	0	0	0	0
PSPTO_0045-hypothetical protein 	2	0	16	71	106	108
PSPTO_0046-hypothetical protein 	19	5	62	143	103	172
PSPTO_0047-UvrD/REP helicase family protein 	5	19	46	240	206	243
PSPTO_0048-hypothetical protein 	9	11	71	209	189	276
PSPTO_0049-hypothetical protein 	10	31	59	130	79	123
PSPTO_0050-hypothetical protein 	5	11	40	105	95	180
PSPTO_0051-hypothetical protein 	2	13	25	105	73	156
PSPTO_0052-hypothetical protein 	39	44	221	819	698	880
PSPTO_0053-hypothetical protein 	1	9	12	21	53	45
PSPTO_0054-hypothetical protein 	2	6	5	9	9	16
"PSPTO_0055-ISPsy4, transposase "	0	0	0	3	4	3
"PSPTO_0056-ISPsy4, transposition helper protein "	0	0	0	3	0	5
PSPTO_0057-transposition helper protein 	13	30	29	93	98	176
PSPTO_0058-transposase 	10	9	43	120	98	115
PSPTO_0059-hypothetical protein 	0	16	46	51	47	51
PSPTO_0061-type III effector HopY1 	118	425	1508	1995	2040	2341
PSPTO_0062-citrate transporter 	26	54	342	248	222	225
PSPTO_0063-hypothetical protein 	0	0	49	32	38	35
PSPTO_0064-hypothetical protein 	299	708	2150	1052	880	1616
PSPTO_0065-ATP-dependent DNA helicase RecG 	22	41	190	143	96	218
PSPTO_0066-oxidative stress regulatory protein OxyR 	18	95	331	115	93	113
PSPTO_0067-tonB protein 	32	31	207	85	110	103
PSPTO_0068-TonB system transport protein ExbD 	1	4	25	6	8	2
PSPTO_0069-TonB system transport protein ExbB 	32	88	229	32	25	24
PSPTO_0070-hypothetical protein 	7	10	54	28	14	41
PSPTO_0071-lipoprotein 	16	57	145	357	204	314
PSPTO_0072-endoribonuclease L-PSP 	10	59	225	530	465	417
"PSPTO_0073-guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase "	73	184	635	1748	1514	1733
PSPTO_0074-DNA-directed RNA polymerase subunit omega 	46	71	336	606	429	569
PSPTO_0075-guanylate kinase 	0	10	22	80	61	56
PSPTO_0076-hypothetical protein 	8	6	81	213	142	188
PSPTO_0077-ribonuclease PH 	53	140	478	353	185	323
PSPTO_0078-hypothetical protein 	1	16	46	121	261	154
PSPTO_0079-exodeoxyribonuclease III 	50	146	525	699	478	617
PSPTO_0080-orotate phosphoribosyltransferase 	4	31	79	150	77	133
PSPTO_0081-hypothetical protein 	16	31	180	258	316	301
PSPTO_0082-acetylglutamate kinase 	6	36	73	202	111	147
PSPTO_0083-phosphomannomutase 	72	187	744	527	423	573
PSPTO_0084-deoxyuridine 5'triphosphate nucleotidohydrolase 	2	1	26	196	160	217
PSPTO_0085-phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase 	41	98	257	972	1066	1180
PSPTO_0086-DNA repair protein RadC 	4	9	39	40	44	78
PSPTO_0087-family 5 extracellular solute-binding protein 	16	72	262	427	420	576
PSPTO_0088-hypothetical protein 	0	0	0	3	0	4
PSPTO_0089-50S ribosomal protein L28 	52	101	814	11718	16317	9061
PSPTO_0090-50S ribosomal protein L33 	1	2	61	361	511	347
PSPTO_0091-hypothetical protein 	36	61	188	703	484	590
PSPTO_0092-aldehyde dehydrogenase family protein 	61	112	392	595	363	562
PSPTO_0093-hypothetical protein 	0	2	13	12	6	6
PSPTO_0094-membrane protein 	3	5	5	54	72	57
PSPTO_0095-phospholipase D 	5	19	84	153	213	219
"PSPTO_0096-GntR family transcriptional regulator/aminotransferase, class I "	17	37	171	152	155	151
PSPTO_0097-hypothetical protein 	3	15	60	25	35	32
PSPTO_0098-hypothetical protein 	10	27	46	243	200	285
PSPTO_0099-hypothetical protein 	7	25	51	67	71	114
PSPTO_0100-leucine-responsive regulatory protein 	9	15	20	37	57	48
PSPTO_0101-D-amino acid dehydrogenase small subunit 	118	170	1019	4309	4968	5502
PSPTO_0102-endoribonuclease L-PSP family protein 	5	13	91	349	261	384
PSPTO_0103-alanine racemase 	17	40	84	1156	840	1263
PSPTO_0104-hypothetical protein 	0	0	0	2	0	13
PSPTO_0105-DNA-binding protein 	4	33	73	262	178	330
PSPTO_0106-cytochrome c5 	3	10	20	95	133	138
PSPTO_0107-hypothetical protein 	16	54	203	203	248	320
PSPTO_0108-membrane protein 	2	1	3	24	14	24
PSPTO_0109-hypothetical protein 	9	20	202	147	81	172
PSPTO_0110-metallo-beta-lactamase superfamily protein 	32	39	247	149	194	266
PSPTO_0111-sigma-54 dependent transcriptional regulator 	8	8	53	54	39	40
PSPTO_0112-xanthine phosphoribosyltransferase 	0	0	26	41	28	43
PSPTO_0113-ATP-dependent DNA helicase Rep 	30	123	321	1237	1143	1379
PSPTO_0114-GGDEF domain/EAL domain protein 	8	25	73	298	222	219
PSPTO_0115-multidrug efflux protein NorA 	5	28	49	276	227	330
PSPTO_0116-LysR family transcriptional regulator 	13	7	39	84	65	61
PSPTO_0117-methyl-accepting chemotaxis protein 	20	37	160	556	449	398
PSPTO_0118-Na/Pi cotransporter family protein 	9	29	136	220	187	208
"PSPTO_0119-peptidase, M16 family "	38	115	431	122	176	189
PSPTO_0120-membrane protein 	11	12	84	238	201	267
PSPTO_0121-membrane protein 	20	31	200	273	223	268
"PSPTO_0123-ISPsy8, transposase OrfA "	0	0	0	0	0	0
"PSPTO_0124-ISPsy8, transposase OrfB "	0	8	26	41	69	69
PSPTO_0125-argininosuccinate lyase 	80	170	506	962	687	923
PSPTO_0126-alginate biosynthesis protein AlgZ/FimS 	20	51	150	134	123	179
PSPTO_0127-alginate biosynthesis regulatory protein AlgR 	59	108	467	248	203	304
