	L176_col_1	L176_vitro_1	L176_vitro_2	L176_vitro_3	L176_col_2	L176_col_3
cds0	7389	103	156	112	5357	1931
cds1	95	34	42	34	105	50
cds10	35	77	52	23	57	43
cds100	6	16	6	2	11	21
cds1000	13	78	75	21	11	39
cds1001	33	207	174	94	55	65
cds1002	355	655	542	315	365	261
cds1003	257	566	413	178	294	295
cds1004	54	368	347	189	45	39
cds1005	188	492	130	62	516	527
cds1006	79	69	44	20	101	38
cds1007	58	44	47	28	49	31
cds1008	92	93	71	36	103	106
cds1009	67	115	66	26	38	29
cds101	26	77	42	15	11	22
cds1010	22	72	64	16	34	40
cds1011	20	38	7	9	11	31
cds1012	5	6	0	0	0	11
cds1013	19	34	22	8	10	18
cds1014	47	106	21	13	44	55
cds1015	49	36	22	11	29	68
cds1016	8	112	146	70	11	26
cds1017	108	392	300	199	67	59
cds1018	23	105	81	48	11	32
cds1019	10	18	12	5	19	20
cds102	335	201	153	169	435	402
cds1020	33	137	84	33	37	36
cds1021	44	27	33	39	24	115
cds1022	190	195	93	89	136	59
cds1023	279	191	143	60	143	112
cds1024	75	73	33	5	21	55
cds1025	21	42	27	6	14	8
cds1026	5	0	1	0	0	0
cds1027	196	791	355	216	233	388
cds1028	32	86	39	43	42	35
cds1029	78	219	174	74	81	83
cds103	3	1	9	1	0	2
cds1030	39	56	46	14	48	35
cds1031	53	44	46	23	41	54
cds1032	6	14	19	4	3	25
cds1033	1407	16	16	7	752	844
cds1034	10	7	0	2	2	5
cds1035	4	6	0	3	1	5
cds1036	4	16	11	1	5	0
cds1037	1	12	14	6	3	28
cds1038	10	7	14	10	4	11
cds1039	1	23	17	10	14	17
cds104	1272	1541	1143	548	1161	1060
cds1040	8	23	8	11	3	14
cds1041	18	30	16	8	22	14
cds1042	22	14	7	5	4	30
cds1043	4	3	9	5	0	3
cds1044	20	55	31	13	24	14
cds1045	20	15	9	5	6	0
cds1046	7	7	9	2	1	0
cds1047	21	52	32	6	8	11
cds1048	2	21	5	3	0	15
cds1049	5	8	20	10	10	5
cds105	27	117	102	38	20	24
cds1050	4	17	5	11	10	10
cds1051	1	0	5	1	11	5
cds1052	3	8	14	1	9	0
cds1053	6	11	25	3	3	22
cds1054	118	130	74	41	148	142
cds1055	15	43	49	6	4	27
cds1056	23	28	16	14	29	27
cds1057	54	27	3	10	36	58
cds1058	1	1	1	3	7	29
cds1059	0	1	4	2	4	4
cds106	215	625	443	231	248	272
cds1060	9	3	2	2	2	2
cds1061	184	663	696	446	157	215
cds1062	50	98	80	63	41	62
cds1063	240	3549	2591	1397	90	147
cds1064	10	18	17	4	13	20
cds1065	14	53	66	23	7	5
