	L177_vitro_1	L177_vitro_2	L177_col_1	L177_col_2	L177_vitro_3	L177_col_3
cds0	0	0	16	0	2	7
cds1	14	8	31	11	13	34
cds10	62	56	45	24	102	23
cds100	20	29	29	9	42	37
cds1000	4	1	8	0	11	14
cds1001	21	27	71	16	47	67
cds1002	81	63	7	32	150	135
cds1003	4	4	16	18	13	11
cds1004	8	4	58	23	7	76
cds1005	6	8	123	54	3	98
cds1006	8	16	44	32	12	189
cds1007	6	13	186	96	12	310
cds1008	1	6	98	32	2	142
cds1009	0	3	360	211	0	392
cds101	2	12	0	0	13	16
cds1010	2	2	83	76	0	89
cds1011	189	177	32	28	443	22
cds1012	2	1	34	2	18	5
cds1013	0	0	0	0	3	0
cds1014	4	0	0	0	12	5
cds1015	96	85	97	46	122	168
cds1016	157	187	144	120	247	186
cds1017	18	26	36	14	33	59
cds1018	14	26	42	18	30	60
cds1019	29	20	56	44	43	81
cds102	44	34	34	16	64	29
cds1020	1	3	0	2	14	19
cds1021	9	15	17	22	24	14
cds1022	17	4	79	66	23	128
cds1023	5	2	53	11	6	3
cds1024	2	0	6	10	3	14
cds1025	0	2	0	10	0	5
cds1026	5	1	8	16	6	13
cds1027	2	14	0	26	18	4
cds1028	6	4	53	6	0	21
cds1029	44	210	151	58	567	1027
cds103	61	82	7	36	160	79
cds1030	7	7	18	22	6	30
cds1031	417	493	1803	932	474	2344
cds1032	15	28	58	8	34	110
cds1033	17	3	9	0	24	41
cds1034	10	10	21	11	15	20
cds1035	4	4	7	12	10	38
cds1036	19	38	64	42	84	37
cds1037	11	23	31	26	33	26
cds1038	20	28	85	74	35	36
cds1039	40	92	186	126	103	327
cds104	0	2	9	7	6	6
cds1040	0	0	23	0	2	0
cds1041	12	5	13	31	9	32
cds1042	8	7	57	69	8	153
cds1043	24	13	155	113	35	183
cds1044	22	28	65	0	47	22
cds1045	13	14	118	116	33	199
cds1046	6	7	92	35	16	91
cds1047	32	46	56	38	90	116
cds1048	26	35	0	6	101	55
cds1049	29	46	44	15	97	24
cds105	72	127	115	79	90	239
cds1050	7	9	0	1	26	2
cds1051	34	34	15	4	62	46
cds1052	71	61	92	39	94	128
cds1053	33	13	58	44	47	36
cds1054	48	33	71	23	93	93
cds1055	5	15	0	0	21	3
cds1056	28	43	48	2	44	32
cds1057	0	2	0	2	15	0
cds1058	128	116	150	101	234	195
cds1059	27	39	73	43	62	60
cds106	88	365	1383	731	378	1723
cds1060	0	5	10	12	4	9
cds1061	0	6	487	271	8	745
cds1062	39	17	29	24	29	59
cds1063	0	0	12	0	6	17
cds1064	67	50	143	55	88	96
cds1065	72	58	101	32	179	230
cds1066	252	220	347	152	362	476
cds1067	161	220	426	268	221	306
cds1068	4	0	4	0	0	8
cds1069	6	6	287	175	19	373
cds107	2	4	65	40	26	60
cds1070	0	5	303	119	5	420
cds1071	84	83	885	495	139	1685
cds1072	86	63	105	43	100	332
cds1073	12	3	17	6	27	63
cds1074	1	5	66	0	8	89
cds1075	20	28	147	59	57	218
cds1076	42	40	32	15	50	67
cds1077	102	70	52	24	130	57
cds1078	16	10	30	11	37	24
cds1079	21	51	82	51	59	52
cds108	38	43	316	254	61	477
cds1080	114	83	155	43	190	105
cds1081	44	42	73	41	80	139
cds1082	65	103	136	61	169	196
cds1083	84	195	131	98	240	492
cds1084	42	79	395	281	185	482
cds1085	169	211	529	368	335	721
cds1086	16	10	17	6	31	12
cds1087	40	34	49	11	65	66
cds1088	302	342	104	120	476	194
cds1089	432	349	437	285	522	431
cds109	4	4	70	21	15	54
cds1090	43	28	45	38	45	66
cds1091	106	92	125	94	176	168
cds1092	398	376	111	38	777	159
cds1093	143	104	195	60	181	118
cds1094	54	29	15	50	47	77
cds1095	236	270	208	50	390	121
cds1096	1	8	0	0	6	4
cds1097	20	14	46	21	23	68
cds1098	191	133	146	51	161	151
cds1099	139	83	64	26	202	104
cds11	50	51	16	16	114	23
cds110	18	55	150	122	70	277
cds1100	160	114	54	26	250	45
cds1101	50	48	72	31	87	48
cds1102	79	64	106	42	100	70
cds1103	31	45	61	11	56	42
cds1104	23	34	84	56	39	92
cds1105	17	21	19	32	41	83
cds1106	55	49	101	62	103	146
cds1107	60	62	63	46	79	89
cds1108	37	51	38	36	54	28
cds1109	10	12	7	16	20	16
cds111	0	11	18	13	10	23
cds1110	51	87	156	52	130	174
cds1111	11	5	16	22	12	16
cds1112	31	18	66	37	20	54
cds1113	43	36	156	83	55	134
cds1114	93	82	48	13	158	11
cds1115	95	96	34	38	63	57
cds1116	386	361	42	34	733	130
cds1117	861	583	87	62	993	144
cds1118	1105	656	154	112	1329	196
cds1119	731	468	164	29	723	122
cds112	15	13	93	41	44	105
cds1120	729	564	116	38	848	104
cds1121	217	185	61	19	350	52
cds1122	299	245	73	26	349	55
cds1123	662	536	175	75	1139	206
cds1124	276	237	44	12	482	82
cds1125	297	245	30	13	392	108
cds1126	255	195	18	23	433	69
cds1127	641	455	177	71	953	156
cds1128	457	346	148	49	656	157
cds1129	295	212	58	8	401	58
cds113	76	132	315	183	178	369
cds1130	116	119	52	19	305	63
cds1131	75	63	54	10	128	26
cds1132	21	16	17	5	71	43
cds1133	1034	946	238	97	2256	318
cds1134	266	247	60	11	630	70
cds1135	24	37	0	0	59	2
cds1136	23	35	0	5	64	9
cds1137	22	32	139	12	77	79
cds1138	654	513	125	67	704	145
cds1139	310	216	31	9	413	29
cds114	7	8	50	12	11	29
cds1140	1065	897	1817	1067	1341	1767
cds1141	0	2	3	0	3	2
cds1142	20	33	31	17	49	19
cds1143	248	266	252	114	366	373
cds1144	655	746	445	144	1022	482
cds1145	125	158	11	15	194	28
cds1146	1267	1266	459	307	1483	583
cds1147	159	131	153	89	305	259
cds1148	42	18	62	58	75	139
cds1149	66	46	128	83	86	194
cds115	3	7	144	89	10	246
cds1150	3	6	17	0	20	25
cds1151	3	3	32	0	4	13
cds1152	1	0	25	5	0	25
cds1153	2	4	15	28	11	57
cds1154	4	2	24	3	7	7
cds1155	433	506	170	146	519	237
cds1156	6	14	3	0	37	21
cds1157	17	9	14	0	28	8
cds1158	10	7	0	6	13	3
cds1159	23	12	0	0	41	11
cds116	19	26	31	17	35	22
cds1160	75	76	246	91	158	251
cds1161	56	39	8	21	63	48
cds1162	43	44	20	11	60	29
cds1163	16	16	238	62	41	324
cds1164	4	2	93	33	5	217
cds1165	12	14	50	63	31	72
cds1166	12	11	18	20	22	26
cds1167	24	20	97	18	67	120
cds1168	113	91	107	70	155	81
cds1169	79	71	189	145	133	128
cds117	7	11	0	23	25	30
cds1170	142	105	580	391	225	436
cds1171	45	36	62	39	94	20
cds1172	27	31	48	25	60	50
cds1173	6	10	18	14	3	17
cds1174	10	13	17	11	5	23
cds1175	10	14	375	233	50	370
cds1176	10	17	27	0	58	35
cds1177	0	0	10	0	0	0
cds1178	0	18	11	22	23	14
cds1179	235	210	229	105	482	282
cds118	6	0	5	19	2	8
cds1180	213	228	197	133	387	250
cds1181	486	490	214	165	940	310
cds1182	14	8	58	15	46	100
cds1183	9	6	88	68	9	93
cds1184	20	35	484	288	74	760
cds1185	7	17	22	25	28	101
cds1186	4	24	615	548	47	1354
cds1187	0	2	117	72	14	192
cds1188	0	3	93	94	2	264
cds1189	1	10	309	245	11	569
cds119	5	10	123	64	7	131
cds1190	5	3	241	186	13	457
cds1191	9	37	464	243	24	515
cds1192	38	71	1527	664	85	1313
cds1193	0	0	2	9	1	3
cds1194	3	3	10	13	3	15
cds1195	3	0	13	2	3	6
cds1196	4	2	0	6	4	0
cds1197	11	4	13	3	23	19
cds1198	2	5	21	0	11	3
cds1199	0	7	4	4	8	7
cds12	4	13	1	0	24	17
cds120	6	3	34	19	4	61
cds1200	86	87	202	116	144	191
cds1201	16	1	23	0	7	8
cds1202	86	101	41	70	157	174
cds1203	3	6	43	9	4	52
cds1204	416	512	207	131	724	379
cds1205	2	3	24	0	5	7
cds1206	1100	1046	540	447	980	718
cds1207	41	52	18	31	82	54
cds1208	21	12	54	27	51	54
cds1209	72	92	107	20	125	122
cds121	10	3	160	63	13	125
cds1210	0	0	0	7	0	9
cds1211	38	12	60	25	61	67
cds1212	45	38	88	17	84	64
