	L187_col_1	L187_col_2	L187_vitro_1	L187_vitro_2	L187_vitro_3	L187_col_3
cds0	0	0	0	0	4	0
cds1	1	0	43	17	78	0
cds10	0	0	0	1	2	0
cds100	0	0	3	3	5	0
cds1000	0	0	5	3	30	0
cds1001	0	0	0	0	1	0
cds1002	0	6	3	2	7	0
cds1003	0	0	1	1	1	0
cds1004	0	3	6	15	42	7
cds1005	1	0	0	3	16	0
cds1006	1	10	16	36	140	24
cds1007	5	21	186	54	309	23
cds1008	2	0	36	12	63	0
cds1009	1	13	79	29	118	13
cds101	0	1	9	8	30	11
cds1010	0	26	10	1	28	17
cds1011	0	2	120	75	389	16
cds1012	0	0	0	0	2	0
cds1013	65	631	2169	413	1969	443
cds1014	7	30	81	46	259	34
cds1015	9	86	1199	984	5728	83
cds1016	1	0	7	4	8	0
cds1017	0	6	8	2	26	0
cds1018	0	0	0	1	4	0
cds1019	2	0	7	7	24	0
cds102	0	0	0	0	0	0
cds1020	2	0	2	1	14	0
cds1021	0	0	7	4	33	0
cds1022	1	0	1	1	1	0
cds1023	10	46	65	48	192	42
cds1024	15	118	198	92	243	76
cds1025	4	16	25	11	94	9
cds1026	9	18	47	31	160	15
cds1027	7	54	114	62	270	16
cds1028	0	2	2	1	18	0
cds1029	2	7	6	1	24	7
cds103	0	0	0	0	6	0
cds1030	0	0	2	2	7	0
cds1031	0	0	6	7	18	0
cds1032	0	0	7	6	23	1
cds1033	0	11	15	2	31	10
cds1034	0	0	0	0	0	0
cds1035	0	0	1	1	2	0
cds1036	20	73	145	30	92	52
cds1037	11	43	107	23	87	67
cds1038	5	37	55	19	38	8
cds1039	4	46	92	27	101	22
cds104	0	0	2	0	6	0
cds1040	12	28	87	40	142	48
cds1041	0	8	56	43	192	13
cds1042	11	38	52	22	138	26
cds1043	3	7	53	41	171	23
cds1044	0	0	29	8	53	2
cds1045	0	4	20	5	69	0
cds1046	8	17	24	13	82	0
cds1047	1	0	13	8	18	0
cds1048	1	8	28	15	93	6
cds1049	0	7	5	3	8	0
cds105	5	4	15	10	30	4
cds1050	0	0	7	0	2	0
cds1051	0	0	2	0	8	0
cds1052	0	5	5	0	19	0
cds1053	3	14	22	15	77	0
cds1054	1	0	6	6	6	0
cds1055	3	6	21	5	31	0
cds1056	0	32	10	5	19	9
cds1057	5	17	42	16	44	1
cds1058	0	3	22	6	19	0
cds1059	3	1	19	8	16	0
cds106	0	0	0	0	0	0
cds1060	3	0	9	0	12	0
cds1061	2	8	51	15	72	11
cds1062	0	0	0	0	5	0
cds1063	0	5	2	0	7	0
cds1064	3	5	3	5	16	6
cds1065	0	2	3	0	12	0
cds1066	2	60	32	18	68	4
cds1067	20	66	97	48	321	61
cds1068	16	127	91	40	193	24
cds1069	0	16	108	8	108	0
cds107	0	0	0	0	3	0
cds1070	8	26	75	11	68	8
cds1071	539	3635	2518	1165	5267	735
cds1072	0	0	12	2	27	12
cds1073	0	0	7	1	14	0
cds1074	0	5	67	21	74	0
cds1075	0	6	41	8	54	0
cds1076	0	0	30	2	28	5
cds1077	0	15	52	33	90	3
cds1078	3	4	42	21	143	0
cds1079	0	0	5	1	6	12
cds108	2	3	15	7	50	16
cds1080	0	5	1	0	2	0
cds1081	0	0	1	2	2	0
cds1082	0	0	0	0	2	0
cds1083	0	4	16	8	35	0
cds1084	0	0	16	1	24	0
