	L1_col_3	L1_vitro_1	L1_vitro_2	L1_col_1	L1_col_2	L1_vitro_3
cds0	0	3	2	0	0	3
cds1	0	0	2	3	0	0
cds10	1	0	5	0	0	7
cds100	100	519	479	189	151	865
cds1000	0	27	24	1	7	61
cds1001	90	1340	1448	138	119	2119
cds1002	0	28	54	0	0	53
cds1003	4	58	41	0	0	57
cds1004	47	106	121	124	74	172
cds1005	289	1188	1161	409	333	1847
cds1006	40	147	149	55	28	240
cds1007	265	833	931	350	242	1278
cds1008	4	50	48	1	0	94
cds1009	45	1138	1098	58	57	1803
cds101	0	2	0	0	0	6
cds1010	0	23	17	0	0	39
cds1011	0	17	20	0	0	18
cds1012	350	637	473	865	816	913
cds1013	14	87	84	3	0	124
cds1014	20	153	196	21	31	250
cds1015	13	165	217	37	7	323
cds1016	43	170	253	81	44	340
cds1017	103	1358	1475	100	84	2094
cds1018	6	27	69	0	9	69
cds1019	13	24	18	0	0	23
cds102	0	4	1	0	0	2
cds1020	17	161	178	43	21	272
cds1021	0	28	22	6	0	33
cds1022	1	17	30	0	15	41
cds1023	0	39	29	14	7	76
cds1024	40	254	193	92	54	360
cds1025	0	53	42	9	0	91
cds1026	39	1262	1210	72	58	1745
cds1027	5	78	86	0	0	141
cds1028	0	4	6	0	0	2
cds1029	13	2	5	25	21	21
cds103	47	92	126	69	38	129
cds1030	93	269	301	152	127	425
cds1031	19	78	116	57	27	146
cds1032	2	40	51	11	0	85
cds1033	18	162	152	23	52	245
cds1034	0	59	84	0	1	172
cds1035	0	28	14	0	0	6
cds1036	0	7	4	0	0	2
cds1037	3	34	21	0	0	28
cds1038	6	174	83	18	6	119
cds1039	36	423	271	2	21	301
cds104	0	12	9	10	14	6
cds1040	0	36	12	26	11	66
cds1041	7	43	39	33	2	92
cds1042	1	156	176	11	17	242
cds1043	0	12	17	0	8	12
cds1044	31	668	617	68	21	1057
cds1045	23	499	523	39	30	766
cds1046	6	135	156	5	6	224
cds1047	24	224	266	26	35	444
cds1048	64	119	179	51	86	249
cds1049	48	232	178	61	51	383
cds105	5	9	16	2	18	42
cds1050	10	268	176	53	36	314
cds1051	14	130	188	11	29	269
cds1052	30	424	461	56	38	607
cds1053	0	8	12	8	0	16
cds1054	12	158	110	16	21	245
cds1055	21	345	337	161	91	411
cds1056	50	134	138	68	30	279
cds1057	0	229	240	4	12	384
cds1058	30	521	634	77	51	872
cds1059	16	159	149	15	12	201
cds106	0	19	14	0	15	9
cds1060	50	425	381	80	49	647
cds1061	5	181	174	18	32	301
cds1062	18	125	125	27	6	178
cds1063	41	558	460	63	68	862
cds1064	10	312	280	52	12	421
cds1065	15	755	855	21	30	1495
cds1066	25	3175	3273	78	42	4567
cds1067	3	1	5	0	0	3
cds1068	0	45	35	54	0	71
cds1069	0	4	7	0	0	7
cds107	0	16	28	9	2	41
cds1070	0	7	3	0	0	9
cds1071	0	4	18	0	0	21
cds1072	9	202	186	33	0	304
cds1073	6	20	22	0	0	57
cds1074	16	489	448	56	48	622
cds1075	14	1267	924	26	27	1919
cds1076	8	84	51	19	15	91
cds1077	8	21	14	0	14	6
cds1078	7	22	33	4	0	50
cds1079	10	22	19	14	31	41
cds108	3	46	56	6	5	62
cds1080	0	1	0	0	0	1
cds1081	0	39	37	13	5	56
cds1082	4	1	2	7	0	0
cds1083	7	1	0	0	6	0
cds1084	10	4	10	1	26	6
cds1085	12	50	38	17	7	56
cds1086	12	19	27	48	13	44
cds1087	19	2	10	16	18	6
cds1088	14	6	10	7	12	2
cds1089	0	2	5	0	0	6
cds109	0	7	12	0	8	13
cds1090	14	369	290	7	6	598
cds1091	0	45	51	0	0	112
cds1092	16	1175	1022	24	31	1916
cds1093	31	81	114	25	35	114
cds1094	0	8	6	0	0	9
cds1095	31	441	396	112	21	626
cds1096	20	289	287	4	13	412
cds1097	38	599	723	59	18	1203
cds1098	2	12	16	4	10	15
cds1099	9	106	94	11	0	174
cds11	0	75	48	7	17	118
cds110	0	26	20	7	0	63
cds1100	6	186	131	30	65	236
cds1101	19	11	15	8	0	32
cds1102	0	91	88	13	10	128
cds1103	0	130	86	16	2	121
cds1104	0	317	296	6	15	434
cds1105	20	232	339	15	6	625
cds1106	15	70	77	6	16	179
cds1107	44	272	252	95	44	346
cds1108	0	28	17	0	0	29
cds1109	0	8	27	6	0	14
cds111	0	5	3	20	0	25
cds1110	20	148	171	0	17	299
cds1111	2	50	29	0	0	67
cds1112	21	179	168	23	1	282
cds1113	0	97	72	5	13	152
cds1114	22	456	486	90	57	790
cds1115	20	247	288	16	51	525
cds1116	110	1675	1592	208	173	2339
cds1117	6	119	181	22	15	202
cds1118	0	71	61	16	27	76
cds1119	1	118	128	38	35	237
cds112	3	12	4	0	16	19
cds1120	0	11	14	0	0	21
cds1121	40	169	180	104	120	332
cds1122	60	86	82	82	53	130
cds1123	466	4183	2741	522	393	5929
cds1124	0	45	41	59	13	68
cds1125	0	16	27	12	22	25
cds1126	12	30	27	33	5	39
cds1127	15	49	58	43	14	77
cds1128	79	144	81	289	199	133
cds1129	11	9	22	19	6	19
cds113	0	16	11	2	4	19
cds1130	0	3	3	0	0	0
cds1131	0	0	1	0	7	0
cds1132	1	101	89	0	16	163
cds1133	0	466	461	26	14	692
cds1134	0	8	7	0	0	10
cds1135	6	1	5	14	1	10
cds1136	13	148	115	30	55	206
cds1137	0	219	243	86	36	480
cds1138	42	254	313	93	28	608
cds1139	0	31	32	0	4	31
cds114	2	41	41	5	0	48
cds1140	10	140	205	29	23	280
cds1141	15	1093	1144	66	33	1946
cds1142	0	49	39	0	3	88
cds1143	0	134	155	6	38	231
cds1144	0	6	20	7	0	15
cds1145	3	40	41	17	8	70
cds1146	13	9	17	10	10	33
cds1147	8	16	16	28	34	16
cds1148	47	21	28	46	29	34
cds1149	79	36	46	164	131	89
cds115	0	28	31	13	14	80
cds1150	133	153	242	134	69	291
cds1151	0	30	28	13	37	30
cds1152	8	27	33	0	7	36
cds1153	36	22	37	13	15	41
cds1154	43	537	454	85	51	765
cds1155	52	768	692	202	121	1054
cds1156	52	834	868	130	114	1227
cds1157	118	1581	1457	162	203	2386
cds1158	14	336	377	14	15	512
cds1159	42	697	743	119	31	886
cds116	0	18	11	0	0	20
cds1160	4	34	49	7	0	64
cds1161	23	163	123	12	19	249
cds1162	92	975	833	228	157	1190
cds1163	6	29	41	16	5	78
cds1164	0	22	21	17	8	25
cds1165	0	16	13	0	6	26
cds1166	0	9	9	0	0	21
cds1167	0	17	8	0	0	9
cds1168	0	78	63	6	0	91
cds1169	11	262	289	18	24	379
cds117	0	18	28	13	15	49
cds1170	0	13	24	9	0	22
cds1171	6	274	248	66	5	423
cds1172	25	303	300	68	57	563
cds1173	39	358	290	60	30	410
cds1174	63	1015	893	218	126	1561
cds1175	17	293	258	37	13	471
cds1176	0	22	26	7	0	41
cds1177	2	2	0	0	0	0
cds1178	0	0	1	0	0	7
cds1179	0	0	2	0	0	0
cds118	14	91	134	52	26	284
cds1180	0	0	0	0	0	0
cds1181	0	3	1	0	0	12
cds1182	0	0	7	0	9	0
cds1183	0	2	2	0	0	1
cds1184	0	8	8	28	0	23
cds1185	17	22	25	30	19	26
cds1186	26	462	661	19	48	1078
