	Pto_col_1	Pto_col_2	Pto_col_3	Pto_col_4	Pto_col_5	Pto_col_6	Pto_col_7	Pto_col_8	Pto_col_9	Pto_col_10	Pto_col_11	Pto_col_12	Pto_col_13	Pto_vitro_1	Pto_vitro_2
PSPTOA0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
