	R935_vitro_1	R935_vitro_2	R935_col_1	R935_col_2	R935_vitro_3	R935_col_3
cds0	1	0	5	33	5	20
cds1	0	0	30	7	0	7
cds10	2	3	26	4	2	58
cds100	1	0	23	0	3	5
cds1000	104	109	231	182	230	770
cds1001	13	10	52	2	43	76
cds1002	15	10	77	55	22	122
cds1003	0	0	50	0	5	21
cds1004	2	4	0	0	20	42
cds1005	10	14	98	21	36	34
cds1006	0	0	0	5	3	0
cds1007	1	0	0	0	0	11
cds1008	2	12	0	14	27	39
cds1009	4	5	0	7	15	14
cds101	7	7	0	9	14	0
cds1010	0	0	24	4	0	40
cds1011	1	0	0	36	1	62
cds1012	0	0	3	19	4	53
cds1013	7	13	16	16	23	92
cds1014	19	10	140	337	20	879
cds1015	157	107	387	269	203	789
cds1016	268	278	147	116	400	331
cds1017	11	10	199	65	19	505
cds1018	1	0	23	21	0	145
cds1019	0	2	19	32	0	36
cds102	0	4	0	0	2	23
cds1020	0	0	0	0	5	40
cds1021	6	12	52	19	9	157
cds1022	2	15	99	70	5	170
cds1023	4	4	27	8	9	88
cds1024	0	1	0	0	1	39
cds1025	15	9	0	7	18	9
cds1026	3241	2721	3079	1457	7964	8775
cds1027	0	0	21	11	1	9
cds1028	5	0	0	11	1	57
cds1029	13	18	38	124	46	364
cds103	3	0	58	8	7	11
cds1030	18	18	40	64	41	174
cds1031	27	9	41	107	28	599
cds1032	132	112	1689	2273	169	7302
cds1033	5	4	75	47	15	42
cds1034	1	0	0	22	2	56
cds1035	225	218	309	174	387	623
cds1036	75	76	97	120	191	253
cds1037	22	32	260	90	62	233
cds1038	65	54	180	68	104	263
cds1039	23	11	11	27	26	128
cds104	1	0	0	2	1	61
cds1040	18	17	53	0	40	65
cds1041	19	19	91	73	29	206
cds1042	8	15	40	57	35	157
cds1043	128	109	432	236	324	676
cds1044	221	313	2221	1544	652	4561
cds1045	135	93	156	121	176	299
cds1046	0	0	0	3	6	9
cds1047	1	0	2	8	0	65
cds1048	0	3	0	0	2	7
cds1049	0	0	12	1	1	23
cds105	6	6	101	26	12	86
cds1050	0	0	11	0	0	5
cds1051	1	1	0	0	0	21
cds1052	28	54	270	200	97	878
cds1053	22	25	3	44	62	198
cds1054	145	166	124	94	324	427
cds1055	0	4	66	152	19	298
cds1056	3	0	90	40	11	168
cds1057	0	2	58	21	7	35
cds1058	4	1	0	14	2	24
cds1059	26	19	69	38	36	123
cds106	28	23	26	6	59	74
cds1060	1	1	8	28	3	34
cds1061	4	2	28	14	13	134
cds1062	1	3	0	0	6	42
cds1063	10	6	0	9	18	13
cds1064	69	59	1403	777	168	2515
cds1065	0	0	0	4	6	38
cds1066	333	418	1090	391	576	1140
cds1067	4	8	163	218	16	642
cds1068	0	0	0	0	0	0
cds1069	3	3	0	2	12	47
cds107	18	3	14	0	21	14
cds1070	31	37	85	30	78	111
cds1071	19	26	0	20	55	205
cds1072	0	5	98	47	21	176
cds1073	7	11	13	61	30	367
cds1074	1	2	34	18	3	30
cds1075	6	3	30	5	14	9
cds1076	0	0	18	18	0	21
cds1077	0	0	0	0	0	17
cds1078	12	13	72	44	32	104
cds1079	2	4	0	0	8	64
cds108	27	23	34	21	59	45
cds1080	0	0	0	5	0	9
cds1081	5	18	24	30	59	103
cds1082	5	12	50	10	30	22
cds1083	28	36	19	2	82	110
cds1084	5	4	60	9	20	77
cds1085	3	22	17	17	46	70
cds1086	1	0	74	31	1	92
cds1087	4	11	305	297	52	1209
cds1088	2	1	0	0	2	54
cds1089	1	1	21	0	1	41
cds109	80	62	198	54	179	205
cds1090	102	100	199	225	263	321
cds1091	1	5	183	231	5	845
cds1092	49	63	255	159	136	877
cds1093	44	32	121	23	85	131
cds1094	253	288	182	141	490	521
cds1095	2	2	31	28	6	96
cds1096	3	1	7	20	6	39
cds1097	2	1	45	50	0	118
cds1098	138	109	272	272	188	415
cds1099	14	11	23	3	6	1
cds11	138	191	313	237	337	661
cds110	15	2	16	0	11	18
cds1100	6	7	43	1	11	57
cds1101	12	13	18	38	34	69
cds1102	15	15	119	28	29	102
cds1103	3	8	15	11	10	85
cds1104	5	13	14	39	30	148
cds1105	5	0	23	6	7	27
cds1106	1	1	21	11	4	23
cds1107	24	41	181	140	111	540
cds1108	0	1	37	3	3	43
cds1109	23	30	14	15	81	67
cds111	0	0	0	4	10	40
cds1110	58	60	19	20	117	144
cds1111	6	18	53	48	27	258
cds1112	4	5	0	9	14	21
cds1113	26	43	78	51	46	230
cds1114	2	6	33	13	6	45
cds1115	99	84	291	81	211	255
cds1116	0	1	0	0	6	13
cds1117	2	2	18	6	2	22
cds1118	6	7	31	18	8	65
cds1119	13	4	0	2	14	28
cds112	11	5	29	0	18	37
cds1120	19	14	44	16	47	58
cds1121	62	80	482	145	121	442
cds1122	88	154	3718	1542	309	4205
cds1123	71	71	167	147	118	269
cds1124	170	174	387	192	209	608
cds1125	64	50	110	57	85	286
cds1126	1	0	18	0	3	17
cds1127	4	5	81	39	33	238
cds1128	69	101	1191	628	222	1955
cds1129	13	7	89	33	20	291
cds113	10	2	80	29	13	75
cds1130	14	14	0	14	9	69
cds1131	5	7	39	18	9	103
cds1132	3	2	30	15	1	62
cds1133	0	0	22	0	0	0
cds1134	2	6	139	71	6	367
cds1135	0	1	0	1	1	8
cds1136	0	0	71	168	0	359
cds1137	0	0	0	4	0	2
cds1138	0	0	0	14	0	30
cds1139	0	0	53	12	0	128
cds114	8	4	20	0	14	43
cds1140	29	27	208	77	75	361
cds1141	8	14	109	119	27	345
cds1142	0	0	551	484	5	1130
cds1143	3	3	145	172	20	530
cds1144	0	0	0	0	0	7
cds1145	0	3	19	49	0	177
cds1146	0	0	18	15	0	31
cds1147	1	1	0	9	1	23
cds1148	2	2	0	0	0	5
cds1149	1	2	16	12	11	20
cds115	3	4	28	19	23	86
cds1150	10	5	0	11	7	69
cds1151	0	0	0	0	1	3
cds1152	5	4	109	54	24	196
cds1153	1	0	0	2	4	34
cds1154	1	4	0	0	9	20
cds1155	4	4	4	10	7	63
cds1156	2	0	21	1	0	7
cds1157	0	1	0	34	0	122
cds1158	4	0	0	0	1	11
cds1159	0	0	9	0	5	48
cds116	1	0	35	2	4	0
cds1160	5	21	182	151	48	257
cds1161	14	24	403	306	51	425
cds1162	8	14	129	103	27	312
cds1163	3	9	159	43	17	191
cds1164	21	37	317	361	75	611
cds1165	0	0	0	7	0	8
cds1166	0	0	0	10	3	48
cds1167	1	3	0	25	0	90
cds1168	2	3	0	23	2	113
cds1169	4	3	11	30	1	49
cds117	28	27	0	26	55	43
cds1170	5	3	70	18	18	38
cds1171	15	20	304	610	25	1620
cds1172	12	13	29	30	16	200
cds1173	7	17	36	23	33	64
cds1174	570	423	904	219	979	749
cds1175	348	317	266	32	520	369
cds1176	54	70	79	16	143	107
cds1177	8	14	18	11	27	38
cds1178	41	62	0	19	90	77
cds1179	2	0	22	3	9	30
cds118	22	36	19	96	73	142
cds1180	2	1	44	81	0	242
cds1181	2	2	0	18	5	76
cds1182	1	0	0	4	1	0
cds1183	5	2	8	20	2	31
cds1184	0	0	11	21	2	32
cds1185	13	8	14	71	14	82
cds1186	17	9	140	206	32	218
cds1187	34	23	39	26	46	61
cds1188	122	81	39	127	187	185
cds1189	74	54	90	25	114	145
cds119	26	8	106	32	25	68
cds1190	3	5	25	50	11	53
cds1191	28	15	42	18	37	124
cds1192	82	79	137	69	157	320
cds1193	7	3	32	73	26	95
cds1194	0	0	0	11	6	39
cds1195	2	0	0	25	2	43
cds1196	0	1	4	4	0	14
cds1197	0	3	50	110	0	388
cds1198	16	8	153	48	34	194
cds1199	2	4	54	38	20	44
cds12	34	23	43	16	76	134
cds120	32	39	73	45	86	266
cds1200	4	0	42	71	0	261
cds1201	1	6	76	35	0	95
cds1202	7	4	198	97	19	234
cds1203	9	11	117	55	39	155
cds1204	0	2	24	1	2	9
cds1205	0	1	0	0	1	10
cds1206	0	0	20	8	7	9
cds1207	0	1	42	14	1	69
cds1208	10	8	80	50	8	76
cds1209	9	3	62	84	14	137
cds121	30	44	9	22	95	71
cds1210	0	1	31	16	1	30
cds1211	2	0	20	20	3	47
cds1212	6	2	25	28	14	109
cds1213	10	7	233	282	31	416
cds1214	5	2	60	20	7	77
cds1215	1	0	31	16	4	44
cds1216	1	3	0	36	1	125
cds1217	8	8	66	39	12	136
