	S763_vitro_1	S763_vitro_2	S763_col_1	S763_col_2	S763_vitro_3	S763_col_3
cds0	270	295	250	312	635	259
cds1	270	285	137	214	652	336
cds10	29	35	22	28	99	30
cds100	27	104	0	9	115	44
cds1000	50	112	33	5	168	19
cds1001	140	128	16	35	246	79
cds1002	64	104	31	25	187	14
cds1003	45	44	8	0	71	58
cds1004	40	27	11	1	80	10
cds1005	180	193	27	54	465	135
cds1006	74	148	34	48	258	88
cds1007	82	76	20	19	269	79
cds1008	63	98	29	33	180	89
cds1009	40	27	32	12	91	62
cds101	37	238	0	38	205	8
cds1010	45	20	131	250	55	289
cds1011	185	163	51	31	438	69
cds1012	0	9	0	0	17	2
cds1013	176	214	29	43	543	73
cds1014	9	28	0	0	38	4
cds1015	247	321	67	92	487	115
cds1016	202	377	50	56	419	186
cds1017	46	17	4	12	92	54
cds1018	11	67	61	91	95	142
cds1019	140	118	27	2	344	23
cds102	266	375	58	117	599	70
cds1020	175	132	6	36	297	29
cds1021	48	37	0	5	102	9
cds1022	804	847	38	139	1494	156
cds1023	109	138	12	24	377	60
cds1024	7	8	0	7	0	0
cds1025	94	48	9	10	333	44
cds1026	116	117	5	16	447	39
cds1027	19	51	12	5	93	0
cds1028	92	87	22	22	169	31
cds1029	66	41	43	26	146	27
cds103	14196	6689	220	588	26154	581
cds1030	11	26	8	21	24	31
cds1031	16	49	1	2	248	45
cds1032	440	772	134	220	1099	193
cds1033	119	192	17	23	159	34
cds1034	415	1162	43	31	1692	70
cds1035	6	0	44	7	0	6
cds1036	19	24	130	163	50	571
cds1037	13	5	0	0	31	6
cds1038	1218	753	0	16	3190	63
cds1039	241	207	0	12	791	11
cds104	294	208	13	21	1040	14
cds1040	211	72	0	0	501	1
cds1041	23	21	0	24	14	39
cds1042	20	28	14	10	83	6
cds1043	0	21	23	0	29	3
cds1044	107	172	11	56	316	99
cds1045	16	14	93	109	28	141
cds1046	1	2	159	185	12	114
cds1047	0	0	2	0	3	0
cds1048	1	13	12	0	0	10
cds1049	3	8	5	5	4	21
cds105	76	88	10	0	334	0
cds1050	108	135	33	48	333	122
cds1051	35	28	6	19	91	0
cds1052	268	151	0	8	658	0
cds1053	3973	2816	41	94	8845	112
cds1054	362	367	54	90	1069	101
cds1055	61	42	36	70	122	26
cds1056	89	105	0	0	405	15
cds1057	1659	1459	33	22	4083	33
cds1058	1936	2092	23	32	3742	34
cds1059	72	135	40	55	242	40
cds106	40	74	12	35	165	27
cds1060	62	65	80	23	146	42
cds1061	6	32	0	0	37	17
cds1062	185	211	40	71	361	79
cds1063	70	139	15	92	178	145
cds1064	4046	2205	83	37	8451	173
cds1065	1469	702	17	0	2349	40
cds1066	565	433	60	31	2525	19
cds1067	126	148	0	5	726	6
cds1068	412	399	81	40	2146	58
cds1069	194	188	17	10	906	15
cds107	8	10	12	6	15	48
cds1070	27	27	25	21	179	24
cds1071	23	25	0	4	15	3
cds1072	1421	2809	44	47	3040	32
cds1073	465	596	14	26	1141	12
cds1074	2869	3617	130	142	4977	148
cds1075	674	979	169	194	1468	193
cds1076	443	620	111	189	1176	259
cds1077	168	232	121	114	571	133
cds1078	33	19	0	6	88	25
cds1079	9	12	0	0	33	6
cds108	5	6	16	6	21	4
cds1080	5	10	0	0	24	7
cds1081	86	87	0	8	205	42
cds1082	18	36	22	0	51	26
cds1083	15	28	4	5	43	28
cds1084	232	291	72	57	893	121
cds1085	28	61	12	13	107	11
cds1086	9	3	0	2	22	0
cds1087	305	513	25	28	813	45
cds1088	301	625	15	17	486	105
cds1089	1619	4273	333	458	2763	490
cds109	15	18	9	8	20	41
cds1090	146	176	60	57	421	121
cds1091	558	779	224	350	1996	378
cds1092	298	299	30	46	629	83
cds1093	252	409	31	31	1058	110
cds1094	0	3	11	0	5	0
cds1095	329	307	16	28	910	115
cds1096	6	41	7	2	41	4
cds1097	29	33	0	6	94	12
cds1098	427	747	0	7	3017	72
cds1099	126	236	17	5	598	24
cds11	24	20	0	34	50	4
cds110	27	86	10	8	64	0
cds1100	202	216	0	10	694	10
cds1101	82	140	0	17	378	3
cds1102	7	2	0	0	0	1
cds1103	17	23	13	20	86	9
cds1104	99	328	9	0	1044	9
cds1105	30	64	0	0	282	1
cds1106	7	20	0	6	115	3
cds1107	5	19	19	0	25	17
cds1108	151	152	10	5	730	0
cds1109	440	617	8	29	1473	49
cds111	22	23	10	7	43	30
cds1110	19	27	9	7	96	74
cds1111	31	10	8	14	41	21
cds1112	3	11	23	22	12	62
cds1113	48	44	3	30	126	29
cds1114	457	3312	176	143	2375	283
cds1115	165	1196	24	79	1419	189
cds1116	10	11	7	5	24	3
cds1117	73	152	59	42	157	64
cds1118	10	12	16	15	43	9
cds1119	477	299	76	87	628	74
cds112	20	63	0	0	36	32
cds1120	10	33	40	5	90	7
cds1121	23	17	6	7	27	12
cds1122	76	2022	475	425	556	500
cds1123	14	52	4	3	6	18
cds1124	222	269	27	81	535	70
cds1125	54	437	41	85	99	147
cds1126	20	132	1	4	86	8
cds1127	40	173	8	35	95	0
cds1128	20	413	55	55	156	60
cds1129	771	533	68	77	1244	51
cds113	17	36	20	18	44	6
cds1130	696	771	116	74	1909	348
cds1131	32	57	21	6	83	86
cds1132	39	66	28	26	160	15
cds1133	22	35	8	7	85	17
cds1134	159	201	33	66	422	56
cds1135	0	0	11	0	1	18
cds1136	10	64	0	8	54	24
cds1137	35	60	0	0	27	17
cds1138	43	47	11	8	83	14
cds1139	30	34	0	0	51	20
cds114	13	79	0	9	11	16
cds1140	5	6	0	11	10	0
cds1141	2	15	9	0	20	26
cds1142	7	4	12	5	24	9
cds1143	178	165	60	80	430	200
cds1144	28	42	3	27	82	22
cds1145	146	728	162	280	681	337
cds1146	1	8	4	0	9	12
cds1147	24	29	0	0	51	15
cds1148	4	19	0	0	5	0
cds1149	16	24	0	0	51	24
cds115	13	40	4	0	55	9
cds1150	431	363	79	82	806	160
cds1151	185	258	31	44	448	70
cds1152	49	60	0	10	159	33
cds1153	22	10	0	7	40	19
cds1154	35	51	13	8	68	17
cds1155	30	21	13	11	59	5
cds1156	31	24	12	39	61	15
cds1157	37	45	8	21	99	17
cds1158	766	234	42	71	1908	227
cds1159	3	0	0	0	4	3
cds116	205	250	54	56	455	132
cds1160	42	34	58	38	145	63
cds1161	11	19	9	0	53	17
cds1162	0	10	0	0	7	0
cds1163	22	55	7	7	53	1
cds1164	57	50	0	21	63	18
cds1165	6	4	5	0	18	0
cds1166	262	420	51	118	696	132
cds1167	13	10	0	11	34	1
cds1168	128	207	110	125	477	135
cds1169	2	20	18	0	59	22
cds117	147	174	28	60	465	52
cds1170	158	193	44	39	412	142
cds1171	19	29	5	5	66	0
cds1172	20	46	6	0	54	4
cds1173	50	85	0	8	210	5
cds1174	147	218	0	0	437	0
cds1175	130	191	64	54	481	62
cds1176	25	10	0	6	71	24
cds1177	44	26	0	13	92	35
cds1178	46	64	8	12	264	36
cds1179	2	8	11	30	29	31
cds118	46	17	0	14	54	43
cds1180	2	5	7	3	4	0
cds1181	348	355	63	41	922	118
cds1182	8	13	0	0	24	5
cds1183	22	15	9	1	34	8
cds1184	31	41	8	3	105	50
cds1185	101	107	33	32	195	80
cds1186	146	152	35	37	301	26
cds1187	23	8	0	0	73	2
cds1188	146	187	22	25	352	57
cds1189	623	604	47	97	1504	179
cds119	242	263	31	14	575	73
cds1190	73	130	14	32	215	25
cds1191	497	565	72	84	931	139
cds1192	59	76	0	13	107	59
cds1193	257	182	30	45	714	125
cds1194	98	120	0	19	261	33
cds1195	520	496	42	159	1317	195
cds1196	270	213	67	148	449	253
cds1197	65	97	45	77	148	88
cds1198	27	42	41	12	60	37
cds1199	63	74	57	61	275	100
cds12	58	107	47	30	177	61
cds120	28	24	25	0	106	27
cds1200	52	78	31	11	151	46
cds1201	168	224	65	67	281	97
cds1202	0	5	0	0	32	1
cds1203	0	0	10	0	1	1
cds1204	33	21	40	56	98	154
cds1205	29	40	15	47	60	37
cds1206	9	11	0	0	43	23
cds1207	713	666	154	264	1402	186
cds1208	506	453	13	0	1115	53
cds1209	2116	2076	99	89	3568	163
cds121	70	72	0	7	267	28
cds1210	2556	2679	56	134	5658	143
cds1211	965	834	55	130	2843	93
cds1212	58	76	16	36	152	50
cds1213	69	54	31	37	127	116
cds1214	18359	16622	488	332	37824	698
cds1215	225	234	0	36	842	24
cds1216	151	168	57	60	309	120
cds1217	9	19	20	6	45	0
cds1218	139	303	24	87	284	119
cds1219	5902	4271	320	352	11156	679
cds122	10	68	0	20	118	77
cds1220	4848	3775	243	312	9102	461
cds1221	998	1205	10	22	2304	43
cds1222	2266	2665	93	42	6573	99
cds1223	8389	7728	217	440	20123	697
cds1224	35716	40276	2240	2543	64620	4955
cds1225	34	33	67	139	73	128
cds1226	1208	1672	16	4	2064	17
cds1227	5255	7200	42	83	11485	97
cds1228	4716	5357	85	113	11724	196
cds1229	2001	1749	9	23	2313	21
cds123	73	234	45	26	332	54
cds1230	10100	8947	178	199	22344	343
cds1231	350	391	0	5	875	28
cds1232	624	638	16	10	1118	22
cds1233	955	974	52	26	3061	21
cds1234	921	727	34	29	2072	81
cds1235	590	411	9	46	1108	32
cds1236	172	133	0	43	365	15
cds1237	1019	910	10	10	2210	29
cds1238	648	741	5	17	1528	14
cds1239	1483	1560	7	9	3068	84
cds124	67	38	97	165	146	144
cds1240	1044	1004	6	11	2069	15
cds1241	1393	1212	25	73	2944	47
cds1242	676	607	0	12	1220	39
cds1243	3854	3252	150	200	7281	242
cds1244	95	84	15	0	218	26
cds1245	958	998	84	63	2460	113
cds1246	2879	3935	160	205	6175	483
cds1247	681	756	37	123	1493	219
cds1248	71	62	7	31	135	23
cds1249	313	887	74	184	900	235
cds125	0	2	0	0	5	0
cds1250	46	200	22	7	174	57
cds1251	48	194	0	33	153	50
cds1252	13	27	16	15	44	36
cds1253	6845	5667	218	198	12455	342
cds1254	2103	2029	160	137	5279	175
cds1255	1002	571	23	35	1991	38
cds1256	4748	3813	29	15	9563	104
cds1257	5295	4720	98	73	11546	169
cds1258	628	684	72	87	1947	53
cds1259	50	40	16	11	173	39
cds126	112	97	48	70	187	76
cds1260	43	39	37	21	144	45
cds1261	77	88	35	36	130	106
cds1262	7	30	17	23	60	58
cds1263	0	0	0	0	3	5
cds1264	5	0	24	0	4	5
cds1265	6	4	0	22	3	35
cds1266	2	4	33	54	18	49
cds1267	0	5	20	37	0	30
cds1268	0	0	21	51	1	24
cds1269	0	0	32	49	1	130
cds127	19	13	529	784	27	848
cds1270	25	27	275	249	28	450
cds1271	6	0	0	26	8	11
cds1272	2	0	9	7	3	1
cds1273	6	0	8	12	18	17
cds1274	0	0	0	0	14	23
cds1275	5	1	20	25	19	14
cds1276	0	0	14	12	0	57
cds1277	0	0	0	7	0	0
cds1278	0	0	0	4	4	57
cds1279	24	20	8	34	31	8
cds128	7	6	68	61	10	172
cds1280	3487	4291	50	69	6308	160
cds1281	1284	1560	15	16	4835	140
cds1282	333	296	9	28	894	121
cds1283	42	32	22	23	69	23
cds1284	9	33	0	12	27	16
cds1285	114	159	25	19	325	62
cds1286	2724	3404	310	277	5609	415
cds1287	119	65	43	27	97	41
cds1288	126	139	16	19	290	80
cds1289	1316	1080	784	1104	1750	1201
cds129	9	31	8	20	81	11
cds1290	215	226	160	214	550	144
cds1291	229	212	47	66	482	92
cds1292	233	262	16	112	477	145
cds1293	731	715	43	36	1619	129
cds1294	2	12	9	0	14	18
cds1295	72	240	24	69	251	69
cds1296	88	73	19	25	175	62
cds1297	28	21	35	10	54	55
cds1298	18	36	0	17	58	11
cds1299	5	7	0	4	7	3
cds13	1597	1272	51	91	5798	297
cds130	20	46	0	16	75	5
cds1300	100	92	41	37	383	48
cds1301	32	54	7	20	74	0
cds1302	26	14	0	6	38	0
cds1303	18	72	0	8	103	1
cds1304	37	40	6	6	164	3
cds1305	128	99	0	40	366	20
cds1306	33	25	19	17	77	20
cds1307	61	67	31	29	105	20
cds1308	75	121	20	12	286	42
cds1309	36	26	0	10	39	13
cds131	10	10	19	12	21	43
cds1310	604	562	61	25	1555	53
cds1311	1884	1999	99	113	4132	95
cds1312	34	34	10	4	70	7
cds1313	65	60	37	16	183	73
cds1314	1451	1171	388	442	2691	408
cds1315	273	319	108	91	427	139
cds1316	5	16	4	12	24	6
cds1317	11	23	100	89	39	197
cds1318	583	683	68	141	1432	238
cds1319	132	175	41	99	281	94
cds132	67	63	8	10	177	2
cds1320	54	51	11	45	111	52
cds1321	419	334	60	98	560	98
cds1322	72	99	10	19	202	31
cds1323	1016	734	82	148	2590	166
cds1324	1531	1672	204	282	3569	548
cds1325	11	14	0	0	35	9
cds1326	258	273	37	27	571	19
cds1327	29	11	0	0	32	4
cds1328	930	743	65	57	2391	117
cds1329	78	94	31	31	203	39
cds133	29	45	6	0	65	5
cds1330	320	325	42	66	706	91
cds1331	8	24	0	12	45	3
cds1332	5	14	0	1	22	1
cds1333	93	104	169	231	111	141
cds1334	2	9	0	0	15	16
cds1335	5	3	19	9	7	2
cds1336	16	79	10	71	88	78
cds1337	118	216	19	47	426	68
cds1338	90	132	7	9	166	10
cds1339	104	323	11	0	402	5
cds134	79	123	12	0	207	8
cds1340	94	30	0	21	179	25
cds1341	11	45	10	22	35	19
cds1342	41	66	11	22	97	21
cds1343	46	55	40	9	99	9
cds1344	27	26	0	16	60	9
cds1345	28	73	0	3	112	9
cds1346	35	32	5	6	29	5
cds1347	9	11	18	0	27	0
cds1348	38	30	36	48	125	36
cds1349	123	126	45	63	312	92
cds135	156	161	46	50	315	79
cds1350	0	24	1	0	28	3
cds1351	2	10	7	0	34	1
cds1352	167	182	52	97	323	96
cds1353	743	407	142	137	1086	238
cds1354	178	185	80	190	319	196
cds1355	48	16	10	3	57	0
cds1356	119	105	0	55	262	44
cds1357	31	29	0	0	62	7
cds1358	222	204	41	46	583	65
cds1359	25	24	16	56	81	96
cds136	320	212	33	27	568	165
cds1360	456	493	13	74	961	59
cds1361	0	1	4	7	0	7
cds1362	12	13	0	0	32	15
cds1363	14	24	6	0	21	1
cds1364	214	254	73	111	206	162
cds1365	19	0	0	0	12	2
cds1366	0	0	0	4	12	3
cds1367	2	39	8	0	18	21
cds1368	173	184	188	144	255	104
cds1369	102	124	33	63	193	112
cds137	113	215	95	110	521	166
cds1370	97	126	3	6	301	54
cds1371	283	90	87	124	544	204
cds1372	16	33	10	0	59	24
cds1373	26	38	5	0	175	2
cds1374	93	195	0	0	586	2
cds1375	0	0	0	2	0	0
cds1376	6740	27039	1388	2321	16946	2049
cds1377	375	1932	3	117	572	124
cds1378	125	838	1	41	485	81
