	R935_Col	R935_TSB	R935_FC	DEG	OG	KO.id	KO.description
cds0	3.89748090423492	2.72783422980863	2.75167502397315	nonDEG	OG0007773		
cds10	4.18753770561342	2.95505858112411	2.23115028393591	nonDEG	OG0000624		
cds100	3.0571148223956	2.35935143272553	2.08021475554515	nonDEG	OG0004430		
cds1000	8.31748357358954	8.86477577883786	0.252259245893862	nonDEG	OG0003006		
cds1001	4.31751987838542	5.90961527012724	-0.0845497662644689	nonDEG	OG0000361	K01424	E3.5.1.1; L-asparaginase [EC:3.5.1.1]
cds1002	6.32769199845135	5.65615451726145	1.43605736501343	nonDEG	OG0000145	K08225	entS; MFS transporter, ENTS family, enterobactin (siderophore) exporter
cds1003	4.65245660320015	3.34000765317968	3.17832134646936	nonDEG	OG0000004	K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
cds1004	4.58256806341464	4.20071377917951	-0.776561342026284	nonDEG	OG0002276	K01611	speD; S-adenosylmethionine decarboxylase [EC:4.1.1.50]
cds1005	5.3662275039053	5.85980708701282	0.626763850262987	nonDEG			
cds1008	4.50923029564026	4.8733544151786	-0.699519838789144	nonDEG	OG0001603	K00797	speE; spermidine synthase [EC:2.5.1.16]
cds1009	3.27020664723793	4.50301064438235	-1.16022036964635	nonDEG	OG0003800	K00316	spdH; spermidine dehydrogenase [EC:1.5.99.6]
cds101	3.90537781116709	4.90075933627466	-1.95912786795419	nonDEG	OG0002304		
cds1011	5.52491238109492	1.56687018236495	4.44038110856163	nonDEG	OG0004174		
cds1012	3.85500095743318	3.01807955829232	3.24871994806255	nonDEG	OG0000095	K13566	NIT2; omega-amidase [EC:3.5.1.3]
cds1013	4.84258478654287	5.4371899463023	0.258260465296941	nonDEG	OG0002305		
cds1014	8.43659985228061	5.7239989819565	3.61547517087075	up	OG0004594		
cds1015	8.76524200409536	8.99387896504304	0.529505541250368	nonDEG	OG0003899		
