	S763_Col	S763_TSB	S763_FC	DEG	OG	KO.id	KO.description
cds0	9.8377125031691	8.420761920291	2.26545756580903	up	OG0001201	K00700	GBE1; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
cds1	9.49231973681228	8.41688269941582	1.88545054685966	up	OG0000301	K05343	treS; maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]
cds10	6.47293995153328	5.42896895668853	1.81283933637061	nonDEG			
cds100	5.87376142980554	5.99036783638746	0.230977626486287	nonDEG	OG0000049	K00253	IVD; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
cds1000	5.61979748199527	6.50460492417484	0.389659574320413	nonDEG	OG0007739		
cds1001	6.89273549447283	7.24736125339921	0.570470924207975	nonDEG	OG0000549	K01524	ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]
cds1002	6.21685004683854	6.63920680531406	0.577240200590977	nonDEG	OG0000498	K00286	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
cds1003	6.12880640882004	5.5904393574617	1.10212753231834	nonDEG	OG0006290		
cds1004	4.00883414394036	5.35634330995054	0.0648358997595693	nonDEG	OG0003611	K03499	trkA; trk system potassium uptake protein
cds1005	7.61057777322473	7.87189442583553	0.663971403410052	nonDEG	OG0003130	K03498	trkH; trk system potassium uptake protein
cds1006	7.4589998929684	7.0334734081982	1.22026979367379	nonDEG	OG0001213	K04768	acuC; acetoin utilization protein AcuC
cds1007	6.70625969160149	6.78240937284391	0.828711095308649	nonDEG	OG0000048	K03892	arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor
cds1008	7.20775042124961	6.58470970061941	1.48575487481687	nonDEG	OG0000757	K00262	E1.4.1.4; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
cds1009	6.59476717646815	5.41829882505432	2.13149924390114	nonDEG	OG0000699	K00101	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
cds101	5.68304687648753	6.81801248878526	-0.637084025007876	nonDEG	OG0001779		
cds1010	9.47309189566555	5.08847571421838	5.0885047970098	up	OG0000597	K01626	E2.5.1.54; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
cds1011	7.32676294247765	7.775060970754	0.39678436493566	nonDEG	OG0002536		
cds1013	7.2397376756687	7.98533107691875	0.0569361755766098	nonDEG	OG0000584	K18697	pgpC; phosphatidylglycerophosphatase C [EC:3.1.3.27]
cds1014	3.27265534374757	4.29849789161898	-1.65118635682418	nonDEG	OG0001671		
cds1015	8.22676130525186	8.29095363956759	0.746565961098598	nonDEG	OG0005720	K01926	rex; redox-sensing transcriptional repressor
cds1016	8.07850421374559	8.19924162254441	0.774189038386402	nonDEG			
cds1017	5.52833090706035	5.2682909970926	1.35532707298864	nonDEG			
cds1018	8.27780727185423	5.25522088511315	3.53900544351496	up	OG0000311		
cds1019	5.17453072550563	7.36949235297411	-0.668525198494905	nonDEG	OG0006210		
cds102	8.03425714998412	8.50090921719555	0.428994770857545	nonDEG			
cds1020	5.95267040519582	7.46007019663499	-0.4590987822225	nonDEG	OG0000110	K02199	ccmG; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
cds1021	4.30500966793058	5.71237581541168	-1.16250841630969	nonDEG	OG0003612	K06196	ccdA; cytochrome c-type biogenesis protein
cds1022	8.29913784110859	9.86417350707127	-0.626941157502329	nonDEG	OG0003962	K07399	resB; cytochrome c biogenesis protein
cds1023	6.44065277178242	7.3684719109124	-0.0186195084931142	nonDEG	OG0003125		
cds1025	5.73214247775446	6.72973865246116	-0.199543603659107	nonDEG	OG0006324		
cds1026	5.61749101068201	7.40092099126924	-0.802529338348644	nonDEG			
cds1027	4.93968898507869	5.37659930147885	-0.128391769326119	nonDEG	OG0003613	K02548	menA; 1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]
cds1028	6.37273408865263	6.67922370870045	0.499454114751563	nonDEG	OG0000030	K01897	ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]
cds1029	6.70891156443436	6.08735230692333	1.49246758244664	nonDEG	OG0000034	K01692	paaF; enoyl-CoA hydratase [EC:4.2.1.17]
cds103	10.469523043354	13.6152673053255	-2.39540603865038	down	OG0001530	K02012	afuA; iron(III) transport system substrate-binding protein
cds1030	5.86388548382068	4.13837335847099	2.54958605747084	nonDEG			
cds1031	3.9123319382087	5.74639746413851	-0.0261040723860507	nonDEG	OG0002858	K07052	uncharacterized protein
cds1032	9.22834955318231	9.38202621988514	0.67194676699777	nonDEG	OG0003734		
cds1033	6.3145434522847	7.1543164857423	-0.0844144027029651	nonDEG			
cds1034	7.25162893344345	9.75805399022407	-1.73012349174552	down	OG0000029	K16235	mmuP; S-methylmethionine transporter
cds1035	5.36563058657083	2.99235725774853	5.74985244971549	up	OG0000210	K01061	E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]
cds1036	9.59119520697293	4.71567748061763	5.79877798879643	up	OG0000476		
cds1037	3.85761784446872	3.54895012044292	-0.505933777825492	nonDEG	OG0000529	K18555	qnr; fluoroquinolone resistance protein
cds1038	6.5477230815157	10.3721438063813	-3.51903641759268	down	OG0000031	K00626	E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
cds1039	5.08128017944497	8.30139880537184	-3.01390518431436	down	OG0000034	K01692	paaF; enoyl-CoA hydratase [EC:4.2.1.17]
cds104	5.71508492709129	8.53092203797312	-2.08577109289409	down	OG0001409	K02011	afuB; iron(III) transport system permease protein
cds1040	1.27265534374757	7.50999240708605	-6.74085056409979	down	OG0000099	K00074	paaH; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
cds1041	6.49426547955744	4.1311735129356	2.39797491751193	nonDEG	OG0002599		
cds1042	4.98646274532085	5.05820289540178	0.87817947974042	nonDEG	OG0000586	K03817	rimL; ribosomal-protein-serine acetyltransferase [EC:2.3.1.-]
cds1043	4.75407813964534	4.2565949493962	2.28110721904507	nonDEG	OG0003085	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]
cds1044	7.04709529302364	7.38059957573126	0.76328599029907	nonDEG			
cds1045	8.56401240219339	4.09499869400955	5.26005470164388	up	OG0007773		
cds1046	8.97409904942061	1.41841624621153	7.84996760727285	up	OG0005090	K10240	cebE; cellobiose transport system substrate-binding protein
cds1048	5.15326120906051	2.12481131317777	3.19415159065557	nonDEG	OG0000041	K17317	gtsC; glucose/mannose transport system permease protein
cds1049	4.76043877694997	2.0850829128782	3.45177264140183	nonDEG	OG0000441	K05350	bglB; beta-glucosidase [EC:3.2.1.21]
cds105	5.4489045736523	6.92044988748946	-2.37866426009744	nonDEG	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
cds1050	7.60174555864631	7.293789234733	1.17213867634206	nonDEG	OG0000013	K02529	lacI; LacI family transcriptional regulator
cds1051	5.4026886943568	5.37157293903823	0.323280614483299	nonDEG	OG0007776		
cds1052	4.84551089578391	8.11224131381051	-4.20294067589393	down	OG0001188	K19222	menI; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]
cds1053	7.98821283221658	12.0654591207389	-3.27658814691747	down	OG0002793	K02618	paaZ; oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]
cds1054	8.05003159984712	8.91727150518678	-0.0830884861181121	nonDEG	OG0003608		
cds1055	7.08159681827493	5.97469277860599	2.06108621758528	nonDEG			
cds1056	5.17954593935609	7.17401442810598	-2.75260548200973	nonDEG	OG0000525	K16137	nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
cds1057	6.59778752521687	10.9575208096708	-3.52806088253351	down	OG0001346	K01912	paaK; phenylacetate-CoA ligase [EC:6.2.1.30]
cds1058	6.61872250520126	11.1631368182253	-3.73284451923273	down	OG0000249	K02614	paaI; acyl-CoA thioesterase [EC:3.1.2.-]
cds1059	7.22345287386527	6.94529669122706	1.11271989052892	nonDEG	OG0001554	K13788	pta; phosphate acetyltransferase [EC:2.3.1.8]
cds106	6.23809191270867	6.18932997089185	0.896334002642098	nonDEG	OG0001892	K03931	ygjK; putative isomerase
cds1060	7.16098339733985	6.27889164006959	2.0049858426231	nonDEG	OG0002090	K00925	ackA; acetate kinase [EC:2.7.2.1]
cds1061	5.36011818499791	4.15490070142118	0.272129227241934	nonDEG	OG0000033	K03790	rimJ; [ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]
cds1062	7.67353289362186	7.8062073046747	0.690794655434457	nonDEG	OG0000731	K01354	ptrB; oligopeptidase B [EC:3.4.21.83]
cds1063	7.61850145332563	6.79808125284944	1.93783294012157	nonDEG	OG0001239		
cds1064	8.08808791430301	11.9346787106709	-2.95753509638986	down	OG0002287	K02609	paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]
cds1065	6.40451137932511	10.2813543789288	-3.71922654610664	down	OG0002286	K02610	paaB; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB
cds1066	6.7847190459118	9.62422806082308	-1.87145603227761	nonDEG	OG0002285	K02611	paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]
cds1067	4.01252841757	7.78694842167935	-3.6583061749092	down	OG0001125	K02612	paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD
cds1068	7.58830060373199	9.35482202069184	-0.989713809058885	nonDEG	OG0000133	K02613	paaE; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE
cds1069	5.52047475001421	8.21605172394148	-1.95701949786264	nonDEG	OG0000034	K01692	paaF; enoyl-CoA hydratase [EC:4.2.1.17]
cds107	5.6666767401533	3.29970164280311	3.49674852441576	up	OG0000056	K19302	bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]
cds1070	6.28875961052369	5.55462567316821	1.30769214396535	nonDEG	OG0000420	K00963	UGP2; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
cds1071	3.35156437012632	4.24819832645123	-0.729654420110463	nonDEG	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
cds1072	7.08638772953712	11.0562245315379	-3.10064846754117	down	OG0000388	K00161	PDHA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
cds1073	5.77929995307209	9.30220824688656	-2.58894815596581	down	OG0000271	K00162	PDHB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
cds1074	8.8755703388195	11.7527523483383	-2.04863746157737	down	OG0000088	K00658	DLST; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
cds1075	9.2794640113446	9.84056410718073	0.273969383484073	nonDEG	OG0002133	K17837	bla2; metallo-beta-lactamase class B [EC:3.5.2.6]
cds1076	9.20620309885138	9.31241529219302	0.710752849232315	nonDEG			
cds1077	8.68405946841231	8.02597719706087	1.46741023830962	up	OG0003633		
cds1078	5.17349246501368	5.14067982978426	0.348831589332334	nonDEG	OG0006242		
cds1079	3.85761784446872	3.82318928647845	-0.606073113464563	nonDEG	OG0001630	K07222	putative flavoprotein involved in K+ transport
cds108	4.61003507300586	2.9898314187669	2.75790546318968	nonDEG	OG0004009		
cds1080	4.08001026580517	3.29970164280311	0.0733460975781985	nonDEG	OG0000025	K19736	aefR; TetR/AcrR family transcriptional regulator, regulator of autoinduction and epiphytic fitness
cds1081	5.75524183115512	6.7396581959899	-0.474234685321335	nonDEG			
cds1082	6.27975157964545	4.89418719425652	1.63733751245521	nonDEG	OG0000098	K01684	dgoD; galactonate dehydratase [EC:4.2.1.6]
cds1083	4.79147524508046	4.60359883676055	1.31800634507528	nonDEG	OG0001783	K07093	uncharacterized protein
cds1084	8.05560699039269	8.50521964702351	0.332254698887788	nonDEG	OG0000749	K01887	RARS; arginyl-tRNA synthetase [EC:6.1.1.19]
