	Leaf1	Leaf130	Leaf155	Leaf177	Leaf187	Leaf176	Leaf404	Root935	Soil763	D36E	EK10	EK47	Pto
OG0001554|K13788|pta; phosphate acetyltransferase [EC:2.3.1.8]	0.74452752201441	0.95362689566709	NA	NA	-0.927322875512049	-0.906814711720751	NA	-0.6716790228264	0.33853237307129	-0.4030444736084	-0.98114570644581	-0.77816659895214	0.14599748792082
OG0000015|K02031|ABC.PE.A; peptide/nickel transport system ATP-binding protein	-0.00981609601399675	1.47176205475741	0.0414434557319461	0.905830587744066	-0.911145755844995	0.672521240277769	NA	NA	-2.02056250856811	0.203769737195555	0.0322330576671299	1.26062851047703	-0.171610267189855
OG0000104|K16568|exoZ; exopolysaccharide production protein ExoZ	-1.1875513748658	-1.01288551491968	0.390692314316685	-0.682929139529487	0.0648969470219303	-0.997817448338747	-0.555763797385335	NA	0.51700263860798	0.442027979752505	NA	1.72307961072576	-0.7354360495741
OG0000109||	1.59402738999329	1.94364156510677	-0.379063313686615	-0.825805951114265	0.36298746210761	-2.93037015635753	-1.61144962575295	-0.10349594859211	-1.65001175823889	0.423077042343207	-1.06143590641006	-0.328018525006945	-0.475776552423963
OG0000374|K01414|prlC; oligopeptidase A [EC:3.4.24.70]	0.817643221068399	-0.390492936918235	0.54565992162907	-0.561292690489539	NA	NA	-0.095663071341165	-0.18904473699716	-0.86370304518922	0.4874393210915	1.70203459982656	0.57414359077248	-0.0585378404058101
OG0000705|K03544|clpX; ATP-dependent Clp protease ATP-binding subunit ClpX	0.68467312630099	-0.60508612889763	-0.0965881967013011	-1.97692090808936	0.6032636673635	0.14230477214838	-2.30862008658659	0.36660413994371	-0.12487176739568	-0.13986284792659	1.71660253550229	0.79567848718351	-0.10139231575441
OG0000451|K01358|clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	-0.539103772745735	0.0716449554658496	-0.79992132645401	-0.71180067711658	1.50812514827807	1.08833587373644	0.6594703767959	-1.15177939537612	0.38739988113625	0.256443668960719	1.40832422685797	1.06537108894965	0.60860501065172
OG0000373||	2.77132796669615	0.43545438178664	1.75555320083735	-1.17267571210634	-1.13382678749555	0.27790585475626	1.11075451293399	0.33977785854182	1.1366475047957	-0.56492526609177	-0.0335105886900853	-0.42683401942712	-1.48957503117309
OG0000477|K04047|dps; starvation-inducible DNA-binding protein	-1.05224834439113	NA	6.63251527735398	0.976986546635609	1.10374182989798	2.01342431836264	1.50489637760192	2.01900155246701	2.83383973176012	-0.470036568569	0.70716481923029	1.85524939128267	-0.8093216833794
OG0000176||	1.04356462826273	0.62981700238453	NA	0.61545734190696	-1.20842028366816	0.78592010970858	1.90912052658608	NA	-0.219259438157132	NA	5.45613678066921	1.33660224200118	NA
OG0000461|K10563|mutM; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]	-1.85160509733452	0.55202872433736	-0.69747818897147	-1.56383736300187	-0.78129913570603	1.98415860153503	NA	NA	-0.544983837175865	-2.1808339722539	-0.86765295804342	-2.00764218261666	-1.47414651665072
