	WP_id	cds	OG	KO id	KO description
Soil763|1	WP_003792170.1	cds1012	OG0006126		
Soil763|2	WP_003800144.1	cds537	OG0000930	K02963	RP-S18; small subunit ribosomal protein S18
Soil763|3	WP_003800212.1	cds502	OG0001238	K02914	RP-L34; large subunit ribosomal protein L34
Soil763|4	WP_003803789.1	cds1237	OG0001096	K02874	RP-L14; large subunit ribosomal protein L14
Soil763|5	WP_003803812.1	cds1227	OG0001102	K02906	RP-L3; large subunit ribosomal protein L3
Soil763|6	WP_003803825.1	cds1226	OG0001103	K02946	RP-S10; small subunit ribosomal protein S10
Soil763|7	WP_003803830.1	cds1221	OG0001105	K02950	RP-S12; small subunit ribosomal protein S12
Soil763|8	WP_003803853.1	cds1210	OG0001108	K02867	RP-L11; large subunit ribosomal protein L11
Soil763|9	WP_003804966.1	cds1502	OG0006192	K18955	whiB1_2_3_4; WhiB family transcriptional regulator, redox-sensing transcriptional regulator
Soil763|10	WP_009356484.1	cds1667	OG0001028	K02110	ATPF0C; F-type H+-transporting ATPase subunit c
Soil763|11	WP_009357211.1	cds205	OG0000042	K03704	cspA; cold shock protein (beta-ribbon, CspA family)
Soil763|12	WP_009358635.1	cds2962	OG0001002	K02916	RP-L35; large subunit ribosomal protein L35
Soil763|13	WP_009358722.1	cds1254	OG0001127	K02919	RP-L36; large subunit ribosomal protein L36
Soil763|14	WP_009358723.1	cds1253	OG0000801	K02518	infA; translation initiation factor IF-1
Soil763|15	WP_009372867.1	cds1885	OG0000984	K02899	RP-L27; large subunit ribosomal protein L27
Soil763|16	WP_011689681.1	cds3122			
Soil763|17	WP_011690139.1	cds343	OG0002663	K09165	uncharacterized protein
Soil763|18	WP_011691167.1	cds2799	OG0001559	K02435	gatC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]
Soil763|19	WP_011692807.1	cds1229	OG0000962	K02892	RP-L23; large subunit ribosomal protein L23
Soil763|20	WP_011693220.1	cds960	OG0000077	K01420	fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein
Soil763|21	WP_011775569.1	cds1255	OG0001088	K02952	RP-S13; small subunit ribosomal protein S13
Soil763|22	WP_011776355.1	cds699	OG0000074	K03530	hupB; DNA-binding protein HU-beta
Soil763|23	WP_015937805.1	cds1280	OG0000899	K02871	RP-L13; large subunit ribosomal protein L13
Soil763|24	WP_018773329.1	cds1910	OG0001431	K06191	nrdH; glutaredoxin-like protein NrdH
Soil763|25	WP_018773443.1	cds1817	OG0006148		
Soil763|26	WP_018773666.1	cds1231	OG0001099	K02965	RP-S19; small subunit ribosomal protein S19
Soil763|27	WP_018773674.1	cds1242	OG0000958	K02881	RP-L18; large subunit ribosomal protein L18
Soil763|28	WP_024366109.1	cds1257	OG0000955	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
Soil763|29	WP_024817557.1	cds1287	OG0003119	K00997	acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
Soil763|30	WP_026266329.1	cds2293	OG0006134		
Soil763|31	WP_026266570.1	cds13	OG0004426	K07736	carD; CarD family transcriptional regulator
Soil763|32	WP_026531948.1	cds1222	OG0001104	K02992	RP-S7; small subunit ribosomal protein S7
Soil763|33	WP_043485315.1	cds698	OG0001093	K02954	RP-S14; small subunit ribosomal protein S14
Soil763|34	WP_056626615.1	cds1244	OG0001090	K02907	RP-L30; large subunit ribosomal protein L30
Soil763|35	WP_056632598.1	cds1810	OG0005096	K06960	uncharacterized protein
Soil763|36	WP_056735886.1	cds0	OG0001201	K00700	GBE1; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
Soil763|37	WP_056735887.1	cds1	OG0000301	K05343	treS; maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]
Soil763|38	WP_056735890.1	cds2	OG0001568	K16147	glgE; starch synthase (maltosyl-transferring) [EC:2.4.99.16]
Soil763|39	WP_056735895.1	cds4	OG0004615		
Soil763|40	WP_056735897.1	cds5	OG0004114	K01167	E3.1.27.3; ribonuclease T1 [EC:3.1.27.3]
