	Actinobacteria1	Actinobacteria2	Alphaproteobacteria	Bacillales	Bacteroidetes	Burkholderiales	Pseudomonas	Xanthomonadaceae
OG0001554|K13788|pta; phosphate acetyltransferase [EC:2.3.1.8]								
OG0000015|K02031|ABC.PE.A; peptide/nickel transport system ATP-binding protein		PA	PA			PA	PA	
OG0000104|K16568|exoZ; exopolysaccharide production protein ExoZ			PA					
OG0000109||								
OG0000374|K01414|prlC; oligopeptidase A [EC:3.4.24.70]								
OG0000705|K03544|clpX; ATP-dependent Clp protease ATP-binding subunit ClpX								
OG0000451|K01358|clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]			PA					
OG0000373||								
OG0000477|K04047|dps; starvation-inducible DNA-binding protein		PA				PA	PA	
OG0000176||								
OG0000461|K10563|mutM; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]								
OG0001887|K01808|rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]			PA			PA		PA
OG0006236||								
OG0000746|K01256|pepN; aminopeptidase N [EC:3.4.11.2]								
OG0000067|K07674|narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]								
OG0000009|K07687|rcsB; two-component system, NarL family, captular synthesis response regulator RcsB							PA	
OG0000103|K22044|ybiO; moderate conductance mechanosensitive channel								
OG0003601|K06886|glbN; hemoglobin			PA			PA		
OG0006237|K07077|uncharacterized protein			PA		PA	PA		
OG0006238||								
OG0001704|K10805|tesB; acyl-CoA thioesterase II [EC:3.1.2.-]			PA		PA			
OG0000480|K07107|ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]			PA					
OG0000193|K15738|uup; ABC transport system ATP-binding/permease protein	PA	PA						
OG0000303|K03111|ssb; single-strand DNA-binding protein			PA			PA		
OG0001720||								
OG0000510|K01916|nadE; NAD+ synthase [EC:6.3.1.5]		PA						
OG0005093||								
OG0001696|K13288|orn; oligoribonuclease [EC:3.1.-.-]								
OG0001886|K16785|ecfT; energy-coupling factor transport system permease protein			PA					
OG0003979|K16786|ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]								
OG0005122|K16925|ykoE; energy-coupling factor transport system substrate-specific component	PA	PA						
OG0000478|K02346|dinB; DNA polymerase IV [EC:2.7.7.7]			PA			PA		
