Cluster	Random example of a gene member (IMG gene ID locus_tag product [organism])	Phylogenetic Diversity	Total # Genes	# PA Genes	# NPA Genes	# RA genes	# Soil Genes	Is PA? (Hyperg Gene Copy Number)	Is PA? (Hyperg Gene Presence Absence)	Is PA? (PhyloGLM Gene Copy Number)	Is PA? (PhyloGLM Gene Presence Absence)	Is PA? (Scoary)	Is NPA? (Hyperg Gene Copy Number)	Is NPA? (Hyperg Gene Presence Absence)	Is NPA? (PhyloGLM Gene Copy Number)	Is NPA? (PhyloGLM Gene Presence Absence)	Is NPA? (Scoary)	Is RA? (Hyperg Gene Copy Number)	Is RA? (Hyperg Gene Presence Absence)	Is RA? (PhyloGLM Gene Copy Number)	Is RA? (PhyloGLM Gene Presence Absence)	Is RA? (Scoary)	Is soil? (Hyperg Gene Copy Number)	Is soil? (Hyperg Gene Presence Absence)	Is soil? (PhyloGLM Gene Copy Number)	Is soil? (PhyloGLM Gene Presence Absence)	Is soil? (Scoary)
KO:K00001	2505586946 PphHB10Y_0019.00004970 NADPH:quinone reductase and related Zn-dependent oxidoreductases [Pseudomonas syringae PphHB10Y (Psy102)]	0.1515	174	68	75	27	31	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00003	2507108286 PsyB48_00003070 homoserine dehydrogenase [Pseudomonas syringae PsyB48]	0.12382	438	225	155	91	58	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00004	"2525059907 D907DRAFT_04924 (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [Pseudomonas sp. LAIL14HWK12:I6]"	0.15579	226	69	126	32	31	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00005	2644879742 Ga0102289_10374 glycerol dehydrogenase [Pseudomonas sp. Leaf48]	0.1077	32	16	11	9	5	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00008	2586032152 PS417_17720 L-iditol 2-dehydrogenase [Pseudomonas simiae WCS417]	0.01759	38	12	22	3	4	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00010	"648418059 PsyrptM_010100023577 myo-inositol 2-dehydrogenase, putative [Pseudomonas syringae pv. tomato Max13]"	0.06717	275	199	57	54	19	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00012	2582250795 BW33_05344 UDPglucose 6-dehydrogenase [Pseudomonas sp. RIT288]	0.11695	520	259	206	92	55	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00013	2518974458 F475DRAFT_03366 histidinol dehydrogenase [Pseudomonas sp. URMO17WK12:I6]	0.12382	349	169	137	61	43	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00014	648416689 PsyrptM_010100016730 shikimate dehydrogenase (EC 1.1.1.25) [Pseudomonas syringae pv. tomato Max13]	0.12382	1042	544	367	219	131	Y	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00018	2521371063 F637DRAFT_04475 glycerate dehydrogenase [Pseudomonas sp. LAMO17WK12:I8]	0.13047	322	135	140	74	47	N	N	N	N	N	N	Y	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
