	PSPTO_ID	OG	KO id	KO description
Pto|1	PSPTO_0001	OG0000857	K02313	dnaA; chromosomal replication initiator protein
Pto|2	PSPTO_0002	OG0000858	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
Pto|3	PSPTO_0003	OG0001170	K03629	recF; DNA replication and repair protein RecF
Pto|4	PSPTO_0004	OG0000213	K02470	gyrB; DNA gyrase subunit B [EC:5.99.1.3]
Pto|5	PSPTO_0005	OG0002436	K03427	hsdM; type I restriction enzyme M protein [EC:2.1.1.72]
Pto|6	PSPTO_0006	OG0004186	K01154	"hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]"
Pto|7	PSPTO_0007			
Pto|8	PSPTO_0008	OG0003733	K01153	"hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]"
Pto|11	PSPTO_0011	OG0000825	K07043	uncharacterized protein
Pto|12	PSPTO_0012			
Pto|15	PSPTO_0015			
Pto|16	PSPTO_0016			
Pto|17	PSPTO_0017	OG0004146		
Pto|21	PSPTO_0021	OG0007752		
Pto|22	PSPTO_0022			
Pto|23	PSPTO_0023			
Pto|25	PSPTO_0025	OG0004867		
Pto|26	PSPTO_0026			
Pto|29	PSPTO_0029			
Pto|30	PSPTO_0030			
Pto|32	PSPTO_0032	OG0007718		
Pto|35	PSPTO_0035	OG0000138		
Pto|40	PSPTO_0040	OG0000174		
Pto|41	PSPTO_0041			
Pto|42	PSPTO_0043	OG0005800	K01493	comEB; dCMP deaminase [EC:3.5.4.12]
Pto|43	PSPTO_0044			
Pto|44	PSPTO_0045			
Pto|45	PSPTO_0046	OG0003587	K07459	ybjD; putative ATP-dependent endonuclease of the OLD family
Pto|46	PSPTO_0047	OG0007079		
Pto|47	PSPTO_0048			
Pto|48	PSPTO_0049	OG0007140		
Pto|49	PSPTO_0050			
Pto|50	PSPTO_0051			
Pto|51	PSPTO_0052	OG0007721		
Pto|52	PSPTO_0053	OG0007714		
Pto|53	PSPTO_0054	OG0007729		
Pto|56	PSPTO_0057	OG0005074		
Pto|57	PSPTO_0058	OG0002408	K07497	putative transposase
Pto|58	PSPTO_0059	OG0007720		
Pto|59	PSPTO_0061			
Pto|60	PSPTO_0062	OG0000482	K03300	"TC.CITMHS; citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family"
Pto|61	PSPTO_0063	OG0000350		
Pto|62	PSPTO_0064	OG0002962		
Pto|63	PSPTO_0065	OG0000846	K03655	recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]
Pto|64	PSPTO_0066	OG0000004	K04761	"oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator"
Pto|65	PSPTO_0067	OG0003331	K03832	tonB; periplasmic protein TonB
Pto|66	PSPTO_0068	OG0000089	K03559	exbD; biopolymer transport protein ExbD
Pto|67	PSPTO_0069	OG0002653	K03561	exbB; biopolymer transport protein ExbB
Pto|68	PSPTO_0070	OG0001165		
Pto|69	PSPTO_0071	OG0002652		
Pto|70	PSPTO_0072	OG0000186	K09022	ridA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
Pto|71	PSPTO_0073	OG0000306	K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]
Pto|72	PSPTO_0074	OG0001792	K03060	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
Pto|73	PSPTO_0075	OG0000845	K00942	E2.7.4.8; guanylate kinase [EC:2.7.4.8]
Pto|74	PSPTO_0076	OG0001412		
Pto|75	PSPTO_0077	OG0001283	K00989	rph; ribonuclease PH [EC:2.7.7.56]
Pto|76	PSPTO_0078	OG0001977	K09940	uncharacterized protein
Pto|77	PSPTO_0079	OG0001282	K01142	E3.1.11.2; exodeoxyribonuclease III [EC:3.1.11.2]
Pto|78	PSPTO_0080	OG0000724	K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
Pto|79	PSPTO_0081	OG0006476		
Pto|80	PSPTO_0082	OG0000844	K00930	argB; acetylglutamate kinase [EC:2.7.2.8]
Pto|81	PSPTO_0083	OG0000212	K03431	glmM; phosphoglucosamine mutase [EC:5.4.2.10]
Pto|82	PSPTO_0084	OG0001281	K01520	dut; dUTP pyrophosphatase [EC:3.6.1.23]
Pto|83	PSPTO_0085	OG0000843	K13038	coaBC; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
Pto|84	PSPTO_0086	OG0000427	K03630	radC; DNA repair protein RadC
Pto|85	PSPTO_0087	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
Pto|87	PSPTO_0089	OG0001025	K02902	RP-L28; large subunit ribosomal protein L28
Pto|88	PSPTO_0090	OG0000723	K02913	RP-L33; large subunit ribosomal protein L33
Pto|89	PSPTO_0091	OG0000542	K06995	uncharacterized protein
Pto|90	PSPTO_0092	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
Pto|92	PSPTO_0094	OG0001976		
Pto|93	PSPTO_0095	OG0001164	K06132	clsC; cardiolipin synthase C [EC:2.7.8.-]
Pto|94	PSPTO_0096	OG0000079	K05825	LYSN; 2-aminoadipate transaminase [EC:2.6.1.-]
Pto|95	PSPTO_0097	OG0002961		
Pto|96	PSPTO_0098	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
Pto|97	PSPTO_0099	OG0003330	K06940	uncharacterized protein
Pto|98	PSPTO_0100	OG0000027	K03719	"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
Pto|99	PSPTO_0101	OG0000136	K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
Pto|100	PSPTO_0102	OG0000829		
Pto|101	PSPTO_0103	OG0000467	K01775	alr; alanine racemase [EC:5.1.1.1]
Pto|103	PSPTO_0105	OG0000016	K07729	putative transcriptional regulator
Pto|104	PSPTO_0106	OG0001532		
Pto|105	PSPTO_0107	OG0002651		
Pto|106	PSPTO_0108	OG0002131	K07090	uncharacterized protein
Pto|107	PSPTO_0109	OG0002903	K17218	sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4]
Pto|108	PSPTO_0110	OG0000257	K01069	gloB; hydroxyacylglutathione hydrolase [EC:3.1.2.6]
Pto|109	PSPTO_0111	OG0000007	K02667	"pilR; two-component system, NtrC family, response regulator PilR"
Pto|110	PSPTO_0112	OG0002173	K03816	xpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]
Pto|111	PSPTO_0113	OG0000231	K03657	uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
Pto|112	PSPTO_0114	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
Pto|113	PSPTO_0115	OG0000466	K03327	"TC.MATE; multidrug resistance protein, MATE family"
Pto|114	PSPTO_0116	OG0000024	K03566	"gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator"
Pto|115	PSPTO_0117	OG0000005	K03406	mcp; methyl-accepting chemotaxis protein
Pto|116	PSPTO_0118	OG0001802	K03324	yjbB; phosphate:Na+ symporter
Pto|117	PSPTO_0119	OG0003348	K07263	pqqL; zinc protease [EC:3.4.24.-]
Pto|118	PSPTO_0120	OG0003347		
Pto|119	PSPTO_0121	OG0001801	K06374	spmB; spore maturation protein B
Pto|121	PSPTO_0124	OG0000577	K07497	putative transposase
Pto|122	PSPTO_0125	OG0000585	K01755	argH; argininosuccinate lyase [EC:4.3.2.1]
Pto|123	PSPTO_0126	OG0000166	K08082	"algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]"
Pto|124	PSPTO_0127	OG0000105	K08083	"algR; two-component system, LytTR family, response regulator AlgR"
Pto|125	PSPTO_0128	OG0000841	K01749	hemC; hydroxymethylbilane synthase [EC:2.5.1.61]
Pto|126	PSPTO_0129	OG0001661	K01719	hemD; uroporphyrinogen-III synthase [EC:4.2.1.75]
Pto|127	PSPTO_0130	OG0003795	K02496	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
Pto|128	PSPTO_0131	OG0002171	K02498	hemY; HemY protein
Pto|129	PSPTO_0132	OG0000840	K03611	dsbB; disulfide bond formation protein DsbB
Pto|131	PSPTO_0134	OG0002957	K07740	rsd; regulator of sigma D
Pto|132	PSPTO_0135	OG0000126	K03772	fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
Pto|133	PSPTO_0136	OG0003794		
Pto|134	PSPTO_0137	OG0003327		
Pto|135	PSPTO_0138	OG0000191	K06158	"ABCF3; ATP-binding cassette, subfamily F, member 3"
Pto|136	PSPTO_0139	OG0002402		
Pto|137	PSPTO_0140	OG0000047	K05834	rhtB; homoserine/homoserine lactone efflux protein
Pto|138	PSPTO_0141	OG0002956	K07243	FTR; high-affinity iron transporter
Pto|139	PSPTO_0142			
Pto|141	PSPTO_0144	OG0000374	K01414	prlC; oligopeptidase A [EC:3.4.24.70]
Pto|142	PSPTO_0145	OG0000373		
Pto|144	PSPTO_0147			
Pto|145	PSPTO_0148	OG0005814		
Pto|146	PSPTO_0149	OG0005677		
Pto|147	PSPTO_0150	OG0002905		
Pto|148	PSPTO_0151	OG0001665		
Pto|149	PSPTO_0152	OG0000862	K04063	osmC; osmotically inducible protein OsmC
Pto|150	PSPTO_0153	OG0000343		
Pto|151	PSPTO_0154	OG0001665		
Pto|152	PSPTO_0155	OG0002663	K09165	uncharacterized protein
Pto|153	PSPTO_0156	OG0003342		
Pto|154	PSPTO_0157	OG0000024	K03566	"gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator"
Pto|155	PSPTO_0158	OG0000727	K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
Pto|156	PSPTO_0159	OG0000861	K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
Pto|157	PSPTO_0161	OG0003798		
Pto|158	PSPTO_0162	OG0000012	K01055	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]
Pto|159	PSPTO_0163	OG0002966	K10253	DOPA 4
Pto|160	PSPTO_0164	OG0000024	K03566	"gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator"
Pto|161	PSPTO_0165	OG0000726	K01133	betC; choline-sulfatase [EC:3.1.6.6]
Pto|162	PSPTO_0166	OG0000545	K02002	proX; glycine betaine/proline transport system substrate-binding protein
Pto|163	PSPTO_0167			
Pto|164	PSPTO_0168	OG0003341	K03321	"TC.SULP; sulfate permease, SulP family"
Pto|165	PSPTO_0169	OG0000171	K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]
Pto|166	PSPTO_0170	OG0001536	K00228	CPOX; coproporphyrinogen III oxidase [EC:1.3.3.3]
Pto|170	PSPTO_0173	OG0000060	K00344	qor; NADPH2:quinone reductase [EC:1.6.5.5]
Pto|171	PSPTO_0174	OG0000278	K07566	tsaC; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
Pto|172	PSPTO_0175	OG0000860	K04096	smf; DNA processing protein
Pto|173	PSPTO_0176	OG0002409		
Pto|174	PSPTO_0177	OG0000243	K01462	PDF; peptide deformylase [EC:3.5.1.88]
Pto|175	PSPTO_0178	OG0000859	K00604	MTFMT; methionyl-tRNA formyltransferase [EC:2.1.2.9]
Pto|176	PSPTO_0179	OG0000587	K03500	rsmB; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
Pto|177	PSPTO_0180	OG0002175	K03499	trkA; trk system potassium uptake protein
Pto|178	PSPTO_0181	OG0000770		
Pto|179	PSPTO_0182	OG0000286	K02517	lpxL; Kdo2-lipid IVA lauroyltransferase [EC:2.3.1.241]
Pto|180	PSPTO_0183	OG0000810	K01246	tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
Pto|181	PSPTO_0184	OG0001664	K01878	glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
Pto|182	PSPTO_0185	OG0001663	K01879	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
Pto|183	PSPTO_0186	OG0001798	K03273	"gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"
