Cluster	Random example of a gene member (IMG gene ID locus_tag product [organism])	Phylogenetic Diversity	Total # Genes	# PA Genes	# NPA Genes	# RA genes	# Soil Genes	Is PA? (Hyperg Gene Copy Number)	Is PA? (Hyperg Gene Presence Absence)	Is PA? (PhyloGLM Gene Copy Number)	Is PA? (PhyloGLM Gene Presence Absence)	Is PA? (Scoary)	Is NPA? (Hyperg Gene Copy Number)	Is NPA? (Hyperg Gene Presence Absence)	Is NPA? (PhyloGLM Gene Copy Number)	Is NPA? (PhyloGLM Gene Presence Absence)	Is NPA? (Scoary)	Is RA? (Hyperg Gene Copy Number)	Is RA? (Hyperg Gene Presence Absence)	Is RA? (PhyloGLM Gene Copy Number)	Is RA? (PhyloGLM Gene Presence Absence)	Is RA? (Scoary)	Is soil? (Hyperg Gene Copy Number)	Is soil? (Hyperg Gene Presence Absence)	Is soil? (PhyloGLM Gene Copy Number)	Is soil? (PhyloGLM Gene Presence Absence)	Is soil? (Scoary)
KO:K00001	"644967196 Cpin_5047 Alcohol dehydrogenase GroES domain protein [Chitinophaga pinensis UQM 2034, DSM 2588]"	0.71242	117	21	66	8	30	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00002	2525252343 G563DRAFT_00857 alcohol dehydrogenase (NADP+) [Runella zeae DSM 19591]	0.56737	61	6	49	1	6	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00003	2644684421 Ga0102241_110528 homoserine dehydrogenase/bifunctional aspartokinase / homoserine dehydrogenase 1 [Flavobacterium sp. Root935]	0.72426	151	26	81	12	44	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00004	2644869060 Ga0102286_101931 L-iditol 2-dehydrogenase [Pedobacter sp. Leaf41]	0.62413	28	4	24	0	0	N	N	N	N	N	N	N	N	N	N	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested
KO:K00008	2644869060 Ga0102286_101931 L-iditol 2-dehydrogenase [Pedobacter sp. Leaf41]	0.6972	44	8	23	1	13	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00010	2609919518 Ga0066745_11179 myo-inositol 2-dehydrogenase (EC 1.1.1.18) [Dyadobacter sp. SG02]	0.57429	23	8	10	1	5	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00012	2644372793 Ga0102111_12983 UDPglucose 6-dehydrogenase [Flavobacterium sp. Root420]	0.65461	474	70	331	21	73	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00013	2587747863 EW70DRAFT_02507 histidinol dehydrogenase [Chryseobacterium sp. OV715]	0.67152	376	54	261	17	61	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00014	2644798086 Ga0102268_101152 shikimate dehydrogenase [Pedobacter sp. Leaf216]	0.65409	413	56	296	17	61	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00015	2623584525 AAY42_15845 glyoxylate reductase [Flagellimonas sp. DK169]	0.6164	11	0	11	0	0	N	N	N	N	N	N	N	N	N	N	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested
KO:K00018	2522549297 H144DRAFT_1697 glycerate dehydrogenase [Dyadobacter beijingensis DSM 21582]	0.79729	72	6	43	1	23	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00019	2525548281 G529DRAFT_0565 3-hydroxybutyrate dehydrogenase [Gramella portivictoriae DSM 23547]	0.77187	19	0	17	0	2	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00020	2588224186 EW75DRAFT_2492 3-hydroxyisobutyrate dehydrogenase [Chryseobacterium sp. YR459]	0.71195	119	39	53	11	27	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00021	2609919989 Ga0066745_11353 3-hydroxy-3-methylglutaryl-coenzyme A reductase [Dyadobacter sp. SG02]	0.64111	37	1	23	1	13	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00023	2609642932 Ga0066764_1276 3-oxoacyl-[acyl-carrier protein] reductase [Pedobacter sp. OK626]	0.69295	15	1	12	1	2	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00024	2645555091 Ga0102404_109309 malate dehydrogenase [Pedobacter sp. Leaf194]	0.6524	406	53	292	15	61	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00027	2515866159 B151DRAFT_02683 malate dehydrogenase (oxaloacetate-decarboxylating) [Gracilimonas tropica DSM 19535]	0.73936	10	0	7	0	3	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00029	2609638231 Ga0066764_102202 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [Pedobacter sp. OK626]	0.64187	417	57	296	17	64	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00030	2587529476 GM79DRAFT_01397 isocitrate dehydrogenase (NAD+) [Hymenobacter sp. IS2118]	0.28368	19	0	12	0	7	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00031	2623226029 Ga0066805_101636 isocitrate dehydrogenase (NADP) [Mucilaginibacter polytrichastri DSM 26907]	0.6553	523	63	364	20	96	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00033	2609915002 Ga0066745_101331 6-phosphogluconate dehydrogenase (decarboxylating) [Dyadobacter sp. SG02]	0.70237	285	50	172	14	63	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
