	L1_Col	L1_TSB	L1_FC	DEG	OG	KO.id	KO.description
cds100	10.2060776856975	9.60259873414503	1.19953431147147	up	OG0001554	K13788	pta; phosphate acetyltransferase [EC:2.3.1.8]
cds1000	4.21018306905801	5.46611821542149	-0.464124939670905	nonDEG	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
cds1001	9.88964167339582	11.0215994502058	-0.532368608997112	nonDEG	OG0000104	K16568	exoZ; exopolysaccharide production protein ExoZ
cds1003	5.56071848771328	6.05873010657578	-1.74749053069847	nonDEG	OG0000109		
cds1004	9.29732274382172	7.40027191745228	2.51679016785602	up			
cds1005	11.4679969287618	10.7914022781552	1.28207858001138	up	OG0000374	K01414	prlC; oligopeptidase A [EC:3.4.24.70]
cds1006	8.36145747808044	7.81783292224133	1.18290200436414	nonDEG	OG0000705	K03544	clpX; ATP-dependent Clp protease ATP-binding subunit ClpX
cds1007	11.1978842007764	10.3374164898961	1.47874946905866	up	OG0000451	K01358	clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
cds1008	4.08093221990875	6.30372494933016	-1.77111665000336	nonDEG	OG0000451	K01358	clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
cds1009	8.78548460313123	10.7322993895204	-1.3446738751679	down			
cds1012	12.3513074933665	9.72102809713229	3.25304864813305	up	OG0000373		
cds1013	5.77709093129813	6.97240817827711	-0.546826826017395	nonDEG	OG0000477	K04047	dps; starvation-inducible DNA-binding protein
cds1014	7.6140571772749	7.98854975909563	0.264468382586211	nonDEG	OG0000176		
cds1015	6.96365923653311	8.19701036906706	-0.423492464931551	nonDEG	OG0000461	K10563	mutM; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]
cds1016	8.7997586933319	8.30984758426222	1.08230791097797	nonDEG	OG0001887	K01808	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]
cds1017	9.6321346145028	11.0311933453764	-0.753446531948082	nonDEG	OG0006236		
cds1018	6.16373562691547	6.03323457384559	0.000989776314849473	nonDEG	OG0000746	K01256	pepN; aminopeptidase N [EC:3.4.11.2]
cds1019	7.26115820585437	4.80207225467915	1.33055014067348	nonDEG	OG0000067	K07674	narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]
cds1020	7.69325824083429	8.00729348538277	0.318498116136172	nonDEG	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB
cds1021	5.18610845282537	5.14631598862344	-0.756255651411334	nonDEG	OG0000103	K22044	ybiO; moderate conductance mechanosensitive channel
cds1022	5.23973717363799	5.15989091576463	0.895704470002072	nonDEG	OG0003601	K06886	glbN; hemoglobin
cds1023	6.11386053008681	5.83969267775012	0.355442806427699	nonDEG	OG0006237	K07077	uncharacterized protein
cds1024	8.92470241895984	8.40025404206229	1.12786198509985	up	OG0006238		
cds1025	5.77107095354653	6.25193327445254	-1.32934264659236	nonDEG	OG0001704	K10805	tesB; acyl-CoA thioesterase II [EC:3.1.2.-]
cds1026	8.82901263973461	10.8130220513528	-1.38157783066502	down	OG0000480	K07107	ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
cds1027	5.88264658260064	6.99299521059337	-2.32584406001006	nonDEG	OG0000193	K15738	uup; ABC transport system ATP-binding/permease protein
cds1029	7.30344767815542	2.94733760782769	4.43546270627324	up	OG0000303	K03111	ssb; single-strand DNA-binding protein
cds103	8.69492350855703	7.21327881359905	2.08917588836832	up	OG0001720		
cds1030	9.98316690503182	8.72138945871945	1.85988366090204	up			
cds1031	8.00314491118116	7.15365835956226	1.4788217387181	up			
cds1032	5.3106480292274	6.17717055960451	-0.625163966900398	nonDEG	OG0000510	K01916	nadE; NAD+ synthase [EC:6.3.1.5]
cds1033	7.85588545980403	7.88406092038258	0.729448433868685	nonDEG	OG0005093		
cds1034	3.01186526395419	6.94299751088655	-4.86284530518173	down	OG0001696	K13288	orn; oligoribonuclease [EC:3.1.-.-]
cds1037	5.14568098843444	5.13830083063455	-1.30380886995306	nonDEG			
cds1038	6.1711932355521	7.28018933210685	-0.499978790077833	nonDEG	OG0001886	K16785	ecfT; energy-coupling factor transport system permease protein
cds1039	6.57865737599759	8.72268329235016	-0.573392124509098	nonDEG	OG0003979	K16786	ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]
cds104	6.37114711650169	3.48920576956719	2.87250530840229	nonDEG	OG0000151	K03924	moxR; MoxR-like ATPase [EC:3.6.3.-]
cds1040	6.8864412764184	5.30901630911296	1.49119902656622	nonDEG	OG0005122	K16925	ykoE; energy-coupling factor transport system substrate-specific component
cds1041	6.00849291506258	6.1209987451461	1.09979935559292	nonDEG			
cds1042	5.57354138788644	7.9304881268637	-1.1010539719809	nonDEG	OG0000478	K02346	dinB; DNA polymerase IV [EC:2.7.7.7]
cds1043	6.01186526395419	4.1283850495032	0.883449697715599	nonDEG	OG0005166		
cds1044	8.20256875939589	9.94211931294104	-1.04405749417481	nonDEG	OG0006328		
cds1045	7.96319482476649	9.5675103431087	-1.00748287625824	down	OG0001558	K02434	gatB; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
cds1046	5.55519426670045	7.76578001459588	-1.59004713141361	nonDEG	OG0000087	K02433	gatA; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
cds1047	7.86280497985963	8.59494017657529	-0.110354110925504	nonDEG	OG0001559	K02435	gatC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]
cds1048	9.09080660014843	7.82213425948575	1.93499390503282	up	OG0000030	K01897	ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]
cds1049	8.78728496134241	8.34756077127863	1.02687289702934	nonDEG	OG0000692	K01972	E6.5.1.2; DNA ligase (NAD+) [EC:6.5.1.2]
cds105	5.55519426670045	4.56333657667934	2.03689018306434	nonDEG	OG0002297		
cds1050	7.79783441822152	8.31596962126788	0.226662069691288	nonDEG	OG0000438	K08368	yaaU; MFS transporter, putative metabolite transport protein
cds1051	7.09949907986472	7.92539544435989	-0.0766272145874137	nonDEG	OG0000800	K00566	mnmA; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]
cds1052	8.37863424496046	9.31662113568839	-0.336815483998782	nonDEG	OG0000281	K04487	iscS; cysteine desulfurase [EC:2.8.1.7]
cds1053	5.60114595210422	3.90424326884604	0.82943142199063	nonDEG	OG0000539	K01214	ISA; isoamylase [EC:3.2.1.68]
