	Pto_Col	Pto_Kb	Pto_FC	Pto_DEG	OG	KO.id	KO.description
PSPTO_0001	10.75080123	9.716464625	1.034336609	up	OG0000857	K02313	dnaA; chromosomal replication initiator protein
PSPTO_0002	8.992290226	9.276730906	-0.28444068	nonDEG	OG0000858	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
PSPTO_0003	8.41055899	7.130949059	1.279609931	up	OG0001170	K03629	recF; DNA replication and repair protein RecF
PSPTO_0004	10.23864482	8.337883908	1.900760907	up	OG0000213	K02470	gyrB; DNA gyrase subunit B [EC:5.99.1.3]
PSPTO_0005	5.907876871	6.059583078	-0.151706206	nonDEG	OG0002436	K03427	hsdM; type I restriction enzyme M protein [EC:2.1.1.72]
PSPTO_0006	5.025381826	5.158706175	-0.133324349	nonDEG	OG0004186	K01154	"hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]"
PSPTO_0007	3.64009258	3.437822452	0.202270128	nonDEG			
PSPTO_0008	6.238283004	6.446747332	-0.208464328	nonDEG	OG0003733	K01153	"hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]"
PSPTO_0011	5.746388929	6.313183399	-0.56679447	nonDEG	OG0000825	K07043	uncharacterized protein
PSPTO_0012	3.417399702	4.536026351	-1.11862665	down			
PSPTO_0015	3.586473935	4.249367311	-0.662893376	nonDEG			
PSPTO_0016	4.023471814	6.224108889	-2.200637075	down			
PSPTO_0017	4.818912716	5.736120044	-0.917207328	nonDEG	OG0004146		
PSPTO_0021	5.927917038	7.640140366	-1.712223328	down	OG0007752		
PSPTO_0022	5.947201626	5.248008591	0.699193036	nonDEG			
PSPTO_0023	5.216826158	4.920700858	0.2961253	nonDEG			
PSPTO_0024	1.736287637	1.78485542	-0.048567783	nonDEG			
PSPTO_0025	4.131782269	5.25971347	-1.127931201	down	OG0004867		
PSPTO_0026	4.85510971	5.09323482	-0.23812511	nonDEG			
PSPTO_0028	1.499610453	3.434255044	-1.93464459	down	OG0002408	K07497	putative transposase
PSPTO_0029	3.233434056	4.111554668	-0.878120612	nonDEG			
PSPTO_0030	4.189826544	5.218798583	-1.028972039	down			
PSPTO_0031	1.544299864	1.196828818	0.347471046	nonDEG	OG0003322		
PSPTO_0032	2.724926013	2.860754374	-0.135828361	nonDEG	OG0007718		
PSPTO_0033	1.024152678	2.838501791	-1.814349113	nonDEG	OG0007719	K03497	"parB; chromosome partitioning protein, ParB family"
PSPTO_0035	3.604382068	5.129524411	-1.525142343	down	OG0000138		
