KO	category-1	category-2	category-3	category-4	N of genes
K00003	Metabolism	Cysteine and methionine metabolism	Cysteine and methionine metabolism	hom; homoserine dehydrogenase [EC:1.1.1.3]	1
K00003	Metabolism	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	hom; homoserine dehydrogenase [EC:1.1.1.3]	1
K00003	Metabolism	Lysine biosynthesis	Lysine biosynthesis	hom; homoserine dehydrogenase [EC:1.1.1.3]	1
K00009	Metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1
K00010	Metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	3
K00010	Metabolism	Streptomycin biosynthesis	Streptomycin biosynthesis	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	3
K00013	Metabolism	Histidine metabolism	Histidine metabolism	hisD; histidinol dehydrogenase [EC:1.1.1.23]	1
K00014	Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	aroE; shikimate dehydrogenase [EC:1.1.1.25]	3
K00020	Metabolism	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	4
K00029	Metabolism	Pyruvate metabolism	Pyruvate metabolism	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	1
K00029	Metabolism	Carbon fixation in photosynthetic organisms	Carbon fixation in photosynthetic organisms	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	1
K00031	Metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	1
K00031	Metabolism	Carbon fixation pathways in prokaryotes	Carbon fixation pathways in prokaryotes	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	1
K00031	Metabolism	Glutathione metabolism	Glutathione metabolism	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	1
K00031	Cellular Processes	Peroxisome	Peroxisome	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	1
K00033	Metabolism	Pentose phosphate pathway	Pentose phosphate pathway	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	2
K00033	Metabolism	Glutathione metabolism	Glutathione metabolism	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	2
K00036	Metabolism	Pentose phosphate pathway	Pentose phosphate pathway	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	2
K00036	Metabolism	Glutathione metabolism	Glutathione metabolism	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	2
K00036	Human Diseases	Central carbon metabolism in cancer	Central carbon metabolism in cancer	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	2
K00036	Brite Hierarchies	Exosome [BR:ko04147]	Exosome [BR:ko04147]	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	2
K00052	Metabolism	C5-Branched dibasic acid metabolism	C5-Branched dibasic acid metabolism	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	1
