Cluster	Random example of a gene member (IMG gene ID locus_tag product [organism])	Phylogenetic Diversity	Total # Genes	# PA Genes	# NPA Genes	# RA genes	# Soil Genes	Is PA? (Hyperg Gene Copy Number)	Is PA? (Hyperg Gene Presence Absence)	Is PA? (PhyloGLM Gene Copy Number)	Is PA? (PhyloGLM Gene Presence Absence)	Is PA? (Scoary)	Is NPA? (Hyperg Gene Copy Number)	Is NPA? (Hyperg Gene Presence Absence)	Is NPA? (PhyloGLM Gene Copy Number)	Is NPA? (PhyloGLM Gene Presence Absence)	Is NPA? (Scoary)	Is RA? (Hyperg Gene Copy Number)	Is RA? (Hyperg Gene Presence Absence)	Is RA? (PhyloGLM Gene Copy Number)	Is RA? (PhyloGLM Gene Presence Absence)	Is RA? (Scoary)	Is soil? (Hyperg Gene Copy Number)	Is soil? (Hyperg Gene Presence Absence)	Is soil? (PhyloGLM Gene Copy Number)	Is soil? (PhyloGLM Gene Presence Absence)	Is soil? (Scoary)
KO:K00001	2616402200 Ga0066755_13434 alcohol dehydrogenase [Methylobacterium sp. YR596]	0.46601	1273	1004	199	517	70	Y	Y	Y	Y	Y	N	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	N
KO:K00003	2596900063 IQ29DRAFT_04719 homoserine dehydrogenase [Rhizobium loessense CGMCC 1.3401]	0.57759	646	407	195	188	44	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested	N
KO:K00004	"2644147213 Ga0102069_112525 (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [Ensifer sp. Root31]"	0.28974	218	175	28	106	15	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00005	640791398 Smed_2460 glycerol 2-dehydrogenase (NAD+) (EC 1.1.1.6) [Ensifer medicae WSM419]	0.31797	67	48	18	23	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00008	2517894382 BraelDRAFT_7075 L-iditol 2-dehydrogenase [Bradyrhizobium elkanii USDA 76]	0.41801	219	182	29	88	8	Y	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N
KO:K00010	2521668955 H282DRAFT_04508 myo-inositol 2-dehydrogenase [Agrobacterium sp. 224MFTsu3.1]	0.29797	625	517	87	269	21	Y	Y	Y	Y	N	N	N	N	N	N	Y	Y	Y	N	N	N	N	N	N	N
KO:K00012	2645136554 Ga0102429_11247 UDPglucose 6-dehydrogenase [Aureimonas sp. Leaf454]	0.58013	803	530	210	252	63	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested	N
KO:K00013	641260776 AZC_3149 histidinol dehydrogenase [Azorhizobium caulinodans ORS 571]	0.57806	715	490	179	237	46	N	Y	Y	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N
KO:K00014	2645121947 Ga0102424_15192 shikimate dehydrogenase [Sphingomonas sp. Leaf407]	0.57812	1237	848	325	398	64	N	N	Y	Untested	N	N	N	N	Untested	N	N	N	Y	Untested	N	N	N	N	Untested	N
KO:K00015	2585151220 EW90DRAFT_00866 glyoxylate reductase [Caulobacter henricii CF287]	0.57608	512	324	148	155	40	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00016	2513631012 YY5DRAFT_01593 L-lactate dehydrogenase [Rhizobium leguminosarum bv. phaseoli FA23]	0.33103	75	67	7	24	1	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00018	2645287772 Ga0102323_123162 glycerate dehydrogenase [Methylobacterium sp. Leaf91]	0.40861	107	73	30	28	4	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00019	2521858711 F617DRAFT_03986 3-hydroxybutyrate dehydrogenase [Agrobacterium sp. 10MFCol1.1]	0.57869	791	539	201	249	51	N	Y	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N
KO:K00020	2593296710 FG34DRAFT_01853 3-hydroxyisobutyrate dehydrogenase [Methylobacterium sp. 13MFTsu3.1M2]	0.57508	1597	1122	368	579	107	N	Y	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N
KO:K00021	2609582801 Ga0066723_103471 3-hydroxy-3-methylglutaryl-coenzyme A reductase [Bosea sp. OK403]	0.73128	6	5	1	4	0	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00023	2645590585 Ga0102414_105457 acetoacetyl-CoA reductase [Rhizobium sp. Leaf384]	0.5893	588	399	131	184	58	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00024	2643988524 Ga0102198_134232 malate dehydrogenase [Mesorhizobium sp. Root695]	0.57883	641	389	209	172	43	N	N	N	Untested	Untested	Y	N	N	Untested	Untested	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00027	2643757406 Ga0102150_112968 malate dehydrogenase (oxaloacetate-decarboxylating) [Pseudolabrys sp. Root1462]	0.73845	32	23	7	3	2	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00029	2509077340 MicloDRAFT_00039850 allosteric NADP-dependent malic enzyme [Microvirga lotononidis WSM3557]	0.57892	1089	694	327	336	68	N	N	Y	N	N	Y	N	N	N	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00030	2507508121 Bra1417DRAFT_3810 isocitrate dehydrogenase (NAD+) [Bradyrhizobium sp. WSM1417]	0.05454	7	6	0	3	1	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00031	2645276373 Ga0102321_101226 isocitrate dehydrogenase [Methylobacterium sp. Leaf90]	0.57877	642	384	212	179	46	N	N	N	Untested	N	Y	N	N	Untested	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00033	2645641830 Ga0102437_134126 6-phosphogluconate dehydrogenase [Methylobacterium sp. Leaf466]	0.55188	649	498	119	235	32	Y	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N
KO:K00034	2644777482 Ga0102260_12950 glucose 1-dehydrogenase [Sphingomonas sp. Leaf10]	0.58695	244	169	67	45	8	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00035	2640053951 Ga0073264_2853 D-galactose 1-dehydrogenase [Phyllobacterium sp. CL33Tsu]	0.56931	455	323	96	155	36	N	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N
KO:K00036	2585325990 EX05DRAFT_03680 glucose-6-phosphate 1-dehydrogenase [Rhizobium rhizogenes YR147]	0.58118	871	627	190	279	54	N	Y	Untested	Y	Y	N	N	Untested	N	N	N	Y	N	N	N	N	N	N	N	N
KO:K00038	2515110850 RLEG17DRAFT_2478 3alpha(or 20beta)-hydroxysteroid dehydrogenase [Rhizobium leguminosarum bv. viciae 248]	0.63258	80	43	18	18	19	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N
KO:K00039	2644004006 Ga0102202_10888 ribitol 2-dehydrogenase [Rhizobium sp. Root708]	0.30024	328	266	51	120	11	Y	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N
KO:K00040	2514004616 A3C7DRAFT_01783 fructuronate reductase [Ensifer medicae WSM244]	0.56266	420	297	98	142	25	N	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N
KO:K00041	2230700082 Rhi57DRAFT_00006550 tagaturonate reductase [Rhizobium sp. 57MFTsu3.2]	0.17988	97	71	20	48	6	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00042	2515654835 B039DRAFT_00123 2-hydroxy-3-oxopropionate reductase [Rhizobium leguminosarum bv. viciae Ps8]	0.51327	799	651	112	323	36	Y	Y	Y	Y	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N
KO:K00045	2509134331 MesloDRAFT_00016570 mannitol 2-dehydrogenase [Mesorhizobium sp. WSM1293]	0.26609	279	234	29	131	16	Y	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N
KO:K00046	2548046141 SFGR64ADRAFT_06305 glucose 1-dehydrogenase [Ensifer fredii GR64]	0.49543	683	560	83	292	40	Y	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N
KO:K00050	643642413 Arad_7659 hydroxypyruvate reductase protein [Rhizobium rhizogenes bv. II K84]	0.5204	685	508	137	246	40	Y	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N
KO:K00052	2513643042 YUADRAFT_06339 3-isopropylmalate dehydrogenase [Bradyrhizobium sp. WSM3983]	0.57832	785	535	188	264	62	N	Y	Y	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N
KO:K00053	2587916116 EX01DRAFT_0824 ketol-acid reductoisomerase [Caulobacter sp. OV484]	0.57839	632	374	214	173	44	N	N	N	Untested	N	Y	N	Y	Untested	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
