Cluster	Random example of a gene member (IMG gene ID locus_tag product [organism])	Phylogenetic Diversity	Total # Genes	# PA Genes	# NPA Genes	# RA genes	# Soil Genes	Is PA? (Hyperg Gene Copy Number)	Is PA? (Hyperg Gene Presence Absence)	Is PA? (PhyloGLM Gene Copy Number)	Is PA? (PhyloGLM Gene Presence Absence)	Is PA? (Scoary)	Is NPA? (Hyperg Gene Copy Number)	Is NPA? (Hyperg Gene Presence Absence)	Is NPA? (PhyloGLM Gene Copy Number)	Is NPA? (PhyloGLM Gene Presence Absence)	Is NPA? (Scoary)	Is RA? (Hyperg Gene Copy Number)	Is RA? (Hyperg Gene Presence Absence)	Is RA? (PhyloGLM Gene Copy Number)	Is RA? (PhyloGLM Gene Presence Absence)	Is RA? (Scoary)	Is soil? (Hyperg Gene Copy Number)	Is soil? (Hyperg Gene Presence Absence)	Is soil? (PhyloGLM Gene Copy Number)	Is soil? (PhyloGLM Gene Presence Absence)	Is soil? (Scoary)
KO:K00001	2561991299 N521DRAFT_1561 alcohol dehydrogenase [Bacillus sp. UNC125MFCrub1.1]	0.26899	572	62	280	43	230	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	Y	N	N	N	N
KO:K00003	2640025353 Ga0073244_1011010 homoserine dehydrogenase [Bacillus sp. 112MF]	0.29294	906	151	371	96	384	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00004	"2639636684 Ga0073237_107151 (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [Bacillus sp. 5MFCol3.1]"	0.2871	416	87	172	41	157	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00005	2518130399 PPM_3760 glycerol dehydrogenase [Paenibacillus polymyxa M1]	0.40111	198	69	63	30	66	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00008	2645673525 Ga0102446_145211 L-iditol 2-dehydrogenase [Bacillus sp. Leaf75]	0.37177	262	74	110	37	78	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00009	2578336899 PSAB_11745 mannitol-1-phosphate 5-dehydrogenase [Paenibacillus sabinae T27]	0.36878	226	67	90	28	69	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00010	2522445032 H543DRAFT_02605 myo-inositol 2-dehydrogenase (EC 1.1.1.18) [Bacillus flexus 27Col1.1E]	0.29227	324	89	117	47	118	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00012	644857339 Pjdr2_0365 nucleotide sugar dehydrogenase [Paenibacillus sp. JDR-2]	0.29107	833	184	320	94	329	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00013	2512729609 PM3016_178 histidinol dehydrogenase [Paenibacillus mucilaginosus 3016]	0.29324	459	98	189	55	172	N	N	N	Untested	N	N	N	N	Untested	N	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00014	2563402542 BP97DRAFT_02509 shikimate dehydrogenase [Paenibacillus sp. UNC451MF]	0.29319	561	139	218	68	204	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
