	WP_id	cds	OG	KO id	KO description
Leaf1|1	WP_003792170.1	cds297	OG0006126		
Leaf1|2	WP_005050520.1	cds1579	OG0001103	K02946	RP-S10; small subunit ribosomal protein S10
Leaf1|3	WP_017885304.1	cds1555	OG0000801	K02518	infA; translation initiation factor IF-1
Leaf1|4	WP_021759549.1	cds1554	OG0001127	K02919	RP-L36; large subunit ribosomal protein L36
Leaf1|5	WP_056005164.1	cds455	OG0000881	K00945	cmk; CMP/dCMP kinase [EC:2.7.4.25]
Leaf1|6	WP_056005168.1	cds456	OG0000977	K03977	engA; GTPase
Leaf1|7	WP_056005171.1	cds457	OG0002776		
Leaf1|8	WP_056005177.1	cds460			
Leaf1|9	WP_056005179.1	cds461	OG0000035		
Leaf1|10	WP_056005188.1	cds465	OG0002079		
Leaf1|11	WP_056005194.1	cds467	OG0000434	K19784	chrR; chromate reductase, NAD(P)H dehydrogenase (quinone)
Leaf1|12	WP_056005205.1	cds471	OG0000181	K00432	gpx; glutathione peroxidase [EC:1.11.1.9]
Leaf1|13	WP_056005211.1	cds475	OG0000106	K07749	frc; formyl-CoA transferase [EC:2.8.3.16]
Leaf1|14	WP_056005268.1	cds495	OG0001310		
Leaf1|15	WP_056005284.1	cds502	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
Leaf1|16	WP_056005291.1	cds504			
Leaf1|17	WP_056005295.1	cds505	OG0000051	K05592	deaD; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]
Leaf1|18	WP_056005310.1	cds511			
Leaf1|19	WP_056005313.1	cds512	OG0000269	K13979	yahK; uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]
Leaf1|20	WP_056005316.1	cds513	OG0000248	K08151	tetA; MFS transporter, DHA1 family, tetracycline resistance protein
Leaf1|21	WP_056005325.1	cds518	OG0004426	K07736	carD; CarD family transcriptional regulator
Leaf1|22	WP_056005334.1	cds521	OG0000611	K00858	ppnK; NAD+ kinase [EC:2.7.1.23]
Leaf1|23	WP_056005345.1	cds528	OG0001014	K10979	ku; DNA end-binding protein Ku
Leaf1|24	WP_056005349.1	cds529	OG0005088	K03654	recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
Leaf1|25	WP_056005352.1	cds531	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
Leaf1|26	WP_056005355.1	cds532	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
Leaf1|27	WP_056005379.1	cds543	OG0006127		
Leaf1|28	WP_056005382.1	cds544	OG0006128		
Leaf1|29	WP_056005388.1	cds547	OG0000243	K01462	PDF; peptide deformylase [EC:3.5.1.88]
Leaf1|30	WP_056005397.1	cds550	OG0000252	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
Leaf1|31	WP_056005400.1	cds551	OG0002191	K01626	E2.5.1.54; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
Leaf1|32	WP_056005405.1	cds553	OG0006129		
Leaf1|33	WP_056005408.1	cds554	OG0006130	K13787	idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]
Leaf1|34	WP_056005413.1	cds556	OG0001429	K03925	mraZ; MraZ protein
Leaf1|35	WP_056005416.1	cds557	OG0001056	K03438	mraW; 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
Leaf1|36	WP_056005423.1	cds560	OG0000662	K01928	murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]
Leaf1|37	WP_056005435.1	cds566	OG0000908	K01924	murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
Leaf1|38	WP_056005450.1	cds572	OG0003600		
Leaf1|39	WP_056005465.1	cds579	OG0006131		
Leaf1|40	WP_056005471.1	cds581	OG0000276	K13628	iscA; iron-sulfur cluster assembly protein
Leaf1|41	WP_056005474.1	cds582	OG0001171	K02275	coxB; cytochrome c oxidase subunit II [EC:1.9.3.1]
Leaf1|42	WP_056005477.1	cds583	OG0000262	K02274	coxA; cytochrome c oxidase subunit I [EC:1.9.3.1]
Leaf1|43	WP_056005480.1	cds584	OG0006132		
