	WP_id	cds	OG	KO id	KO description
Root935|1	WP_002987043.1	cds3524	OG0000930	K02963	RP-S18; small subunit ribosomal protein S18
Root935|2	WP_002987490.1	cds167	OG0001127	K02919	RP-L36; large subunit ribosomal protein L36
Root935|3	WP_007136545.1	cds168	OG0000801	K02518	infA; translation initiation factor IF-1
Root935|4	WP_007136570.1	cds193	OG0001105	K02950	RP-S12; small subunit ribosomal protein S12
Root935|5	WP_007137004.1	cds888	OG0000688	K02078	acpP; acyl carrier protein
Root935|6	WP_007137066.1	cds970	OG0000042	K03704	cspA; cold shock protein (beta-ribbon, CspA family)
Root935|7	WP_007138072.1	cds2103	OG0005454		
Root935|8	WP_007803605.1	cds190	OG0001103	K02946	RP-S10; small subunit ribosomal protein S10
Root935|9	WP_007803626.1	cds185	OG0001099	K02965	RP-S19; small subunit ribosomal protein S19
Root935|10	WP_007803631.1	cds184	OG0000961	K02890	RP-L22; large subunit ribosomal protein L22
Root935|11	WP_007803646.1	cds180	OG0001097	K02961	RP-S17; small subunit ribosomal protein S17
Root935|12	WP_007803649.1	cds179	OG0001096	K02874	RP-L14; large subunit ribosomal protein L14
Root935|13	WP_007803650.1	cds178	OG0001095	K02895	RP-L24; large subunit ribosomal protein L24
Root935|14	WP_007803669.1	cds169	OG0001089	K03076	secY; preprotein translocase subunit SecY
Root935|15	WP_007804760.1	cds2726	OG0000368	K03086	rpoD; RNA polymerase primary sigma factor
Root935|16	WP_007805026.1	cds2632	OG0000074	K03530	hupB; DNA-binding protein HU-beta
Root935|17	WP_007805605.1	cds4086	OG0000092	K03671	trxA; thioredoxin 1
Root935|18	WP_007809313.1	cds3627	OG0000951	K09710	ybeB; ribosome-associated protein
Root935|19	WP_007810575.1	cds3525	OG0000752	K02990	RP-S6; small subunit ribosomal protein S6
Root935|20	WP_007810722.1	cds2908	OG0001002	K02916	RP-L35; large subunit ribosomal protein L35
Root935|21	WP_008253902.1	cds2068	OG0000723	K02913	RP-L33; large subunit ribosomal protein L33
Root935|22	WP_008462029.1	cds4087	OG0005464		
Root935|23	WP_008462500.1	cds3813	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
Root935|24	WP_008463064.1	cds3511	OG0005603		
Root935|25	WP_008464192.1	cds241	OG0000089	K03559	exbD; biopolymer transport protein ExbD
Root935|26	WP_008464292.1	cds183	OG0001098	K02982	RP-S3; small subunit ribosomal protein S3
Root935|27	WP_008464297.1	cds181	OG0000959	K02904	RP-L29; large subunit ribosomal protein L29
Root935|28	WP_008464306.1	cds175	OG0001092	K02994	RP-S8; small subunit ribosomal protein S8
Root935|29	WP_008464313.1	cds172	OG0000957	K02988	RP-S5; small subunit ribosomal protein S5
Root935|30	WP_008464315.1	cds171	OG0001090	K02907	RP-L30; large subunit ribosomal protein L30
Root935|31	WP_008464322.1	cds166	OG0001088	K02952	RP-S13; small subunit ribosomal protein S13
Root935|32	WP_008464326.1	cds164	OG0001086	K02986	RP-S4; small subunit ribosomal protein S4
Root935|33	WP_008464329.1	cds163	OG0000955	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
Root935|34	WP_008464689.1	cds2754	OG0001348	K10947	padR; PadR family transcriptional regulator, regulatory protein PadR
Root935|35	WP_008464760.1	cds2800	OG0000074	K03530	hupB; DNA-binding protein HU-beta
Root935|36	WP_008464848.1	cds2838	OG0001238	K02914	RP-L34; large subunit ribosomal protein L34
Root935|37	WP_008464948.1	cds2907	OG0001003	K02887	RP-L20; large subunit ribosomal protein L20
Root935|38	WP_008464979.1	cds315	OG0000224	K03562	tolQ; biopolymer transport protein TolQ
Root935|39	WP_008465062.1	cds353	OG0000507	K11991	tadA; tRNA(adenine34) deaminase [EC:3.5.4.33]
Root935|40	WP_008465217.1	cds435	OG0001340	K02911	RP-L32; large subunit ribosomal protein L32
Root935|41	WP_008465481.1	cds598	OG0001879	K01579	panD; aspartate 1-decarboxylase [EC:4.1.1.11]
Root935|42	WP_008466087.1	cds945			
Root935|43	WP_008466103.1	cds959	OG0001377	K00340	nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
Root935|44	WP_008466528.1	cds2703	OG0000901	K03569	mreB; rod shape-determining protein MreB and related proteins
Root935|45	WP_008466594.1	cds2666	OG0000218	K13643	iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor
Root935|46	WP_008466807.1	cds2537	OG0000092	K03671	trxA; thioredoxin 1
Root935|47	WP_008466927.1	cds2217	OG0005561	K03073	secE; preprotein translocase subunit SecE
Root935|48	WP_008466940.1	cds2225	OG0005524		
Root935|49	WP_008467169.1	cds2378	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB
Root935|50	WP_008467225.1	cds2409	OG0001522	K06195	apaG; ApaG protein
Root935|51	WP_008467323.1	cds2473	OG0002577	K06142	hlpA; outer membrane protein
Root935|52	WP_008468080.1	cds2069	OG0001025	K02902	RP-L28; large subunit ribosomal protein L28
Root935|53	WP_008468081.1	cds2067	OG0005453		
Root935|54	WP_008468989.1	cds3002	OG0000395	K03718	asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA
Root935|55	WP_008469033.1	cds276	OG0000858	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
Root935|56	WP_011921626.1	cds2829	OG0000559	K02909	RP-L31; large subunit ribosomal protein L31
Root935|57	WP_012022371.1	cds72			
Root935|58	WP_012022484.1	cds177	OG0001094	K02931	RP-L5; large subunit ribosomal protein L5
Root935|59	WP_012022489.1	cds187	OG0000962	K02892	RP-L23; large subunit ribosomal protein L23
Root935|60	WP_012022600.1	cds329	OG0003708		
