	WP_id	cds	OG	KO id	KO description
Leaf155|1	WP_003494703.1	cds1924	OG0000042	K03704	cspA; cold shock protein (beta-ribbon, CspA family)
Leaf155|2	WP_003495228.1	cds1655	OG0000955	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
Leaf155|3	WP_003496403.1	cds1092	OG0000723	K02913	RP-L33; large subunit ribosomal protein L33
Leaf155|4	WP_003497670.1	cds2260	OG0001127	K02919	RP-L36; large subunit ribosomal protein L36
Leaf155|5	WP_003502063.1	cds1222	OG0000930	K02963	RP-S18; small subunit ribosomal protein S18
Leaf155|6	WP_003502385.1	cds1112	OG0001261	K00338	nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
Leaf155|7	WP_003507760.1	cds1685	OG0001105	K02950	RP-S12; small subunit ribosomal protein S12
Leaf155|8	WP_003507767.1	cds1680	OG0001103	K02946	RP-S10; small subunit ribosomal protein S10
Leaf155|9	WP_003516012.1	cds3656	OG0000484	K05527	bolA; BolA family transcriptional regulator, general stress-responsive regulator
Leaf155|10	WP_003517620.1	cds3455	OG0006852		
Leaf155|11	WP_003517624.1	cds3457	OG0001181		
Leaf155|12	WP_003523719.1	cds1697	OG0001323	K03073	secE; preprotein translocase subunit SecE
Leaf155|13	WP_006316435.1	cds1695	OG0001108	K02867	RP-L11; large subunit ribosomal protein L11
Leaf155|14	WP_007753933.1	cds1527	OG0000842	K04752	glnK; nitrogen regulatory protein P-II 2
Leaf155|15	WP_010972613.1	cds2704	OG0001238	K02914	RP-L34; large subunit ribosomal protein L34
Leaf155|16	WP_013761283.1	cds3448	OG0000596	K13007	wbpL; Fuc2NAc and GlcNAc transferase [EC:2.4.1.-]
Leaf155|17	WP_016556742.1	cds2525	OG0001340	K02911	RP-L32; large subunit ribosomal protein L32
Leaf155|18	WP_019566372.1	cds3462	OG0000813	K01463	bshB1; N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]
Leaf155|19	WP_027673217.1	cds1410	OG0001697	K03666	hfq; host factor-I protein
Leaf155|20	WP_027673419.1	cds3716	OG0000730	K01923	purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]
Leaf155|21	WP_027673546.1	cds217	OG0004426	K07736	carD; CarD family transcriptional regulator
Leaf155|22	WP_027673553.1	cds210	OG0002019	K03594	bfr; bacterioferritin [EC:1.16.3.1]
Leaf155|23	WP_027673599.1	cds143	OG0000971	K02884	RP-L19; large subunit ribosomal protein L19
Leaf155|24	WP_027673809.1	cds2882	OG0000801	K02518	infA; translation initiation factor IF-1
Leaf155|25	WP_027673924.1	cds3007			
Leaf155|26	WP_027674583.1	cds2531	OG0000042	K03704	cspA; cold shock protein (beta-ribbon, CspA family)
Leaf155|27	WP_027674673.1	cds4222	OG0002141	K09791	uncharacterized protein
Leaf155|28	WP_027674722.1	cds4286	OG0001002	K02916	RP-L35; large subunit ribosomal protein L35
Leaf155|29	WP_027674723.1	cds4285	OG0001003	K02887	RP-L20; large subunit ribosomal protein L20
Leaf155|30	WP_027675545.1	cds2302	OG0000492		
Leaf155|31	WP_027675812.1	cds973	OG0000688	K02078	acpP; acyl carrier protein
Leaf155|32	WP_027675866.1	cds1217	OG0000688	K02078	acpP; acyl carrier protein
Leaf155|33	WP_027676016.1	cds2752	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
Leaf155|34	WP_027676880.1	cds4339	OG0002292		
Leaf155|35	WP_027677419.1	cds1669	OG0001096	K02874	RP-L14; large subunit ribosomal protein L14
Leaf155|36	WP_027677420.1	cds1670	OG0001097	K02961	RP-S17; small subunit ribosomal protein S17
Leaf155|37	WP_027677421.1	cds1671	OG0000959	K02904	RP-L29; large subunit ribosomal protein L29
Leaf155|38	WP_027677422.1	cds1672	OG0000960	K02878	RP-L16; large subunit ribosomal protein L16
Leaf155|39	WP_027677425.1	cds1675	OG0001099	K02965	RP-S19; small subunit ribosomal protein S19
Leaf155|40	WP_027677427.1	cds1677	OG0000962	K02892	RP-L23; large subunit ribosomal protein L23
Leaf155|41	WP_034806062.1	cds2764	OG0000042	K03704	cspA; cold shock protein (beta-ribbon, CspA family)
Leaf155|42	WP_037171757.1	cds3057	OG0001444	K03602	xseB; exodeoxyribonuclease VII small subunit [EC:3.1.11.6]
Leaf155|43	WP_041694612.1	cds3450	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
Leaf155|44	WP_042615730.1	cds615	OG0000562	K11178	yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]
Leaf155|45	WP_045018729.1	cds1141	OG0001054	K02996	RP-S9; small subunit ribosomal protein S9
Leaf155|46	WP_060642727.1	cds3466			
Leaf155|47	WP_060642728.1	cds3465	OG0000327	K01991	wza; polysaccharide biosynthesis/export protein
Leaf155|48	WP_062423499.1	cds4479	OG0000186	K09022	ridA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
Leaf155|49	WP_062423500.1	cds4478	OG0000620	K09020	rutB; ureidoacrylate peracid hydrolase [EC:3.5.1.110]
Leaf155|50	WP_062423513.1	cds4462	OG0000041	K17317	gtsC; glucose/mannose transport system permease protein
Leaf155|51	WP_062423514.1	cds4461	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
Leaf155|52	WP_062423515.1	cds4460	OG0000058	K00874	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
Leaf155|53	WP_062423518.1	cds4457	OG0000952	K03625	nusB; N utilization substance protein B
Leaf155|54	WP_062423522.1	cds4452	OG0001445	K07738	nrdR; transcriptional repressor NrdR
Leaf155|55	WP_062423524.1	cds4450	OG0001951	K21470	ycbB; L,D-transpeptidase YcbB
Leaf155|56	WP_062423525.1	cds4448	OG0000011	K06075	slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin
Leaf155|57	WP_062423536.1	cds4436	OG0000413	K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
Leaf155|58	WP_062423546.1	cds4427	OG0002837		
Leaf155|59	WP_062423563.1	cds4408	OG0000199	K11075	potH; putrescine transport system permease protein
Leaf155|60	WP_062423567.1	cds4404	OG0000218	K13643	iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor
Leaf155|61	WP_062423576.1	cds4391			
Leaf155|62	WP_062423581.1	cds4386	OG0000041	K17317	gtsC; glucose/mannose transport system permease protein
Leaf155|63	WP_062423587.1	cds4380	OG0000037	K02034	ABC.PE.P1; peptide/nickel transport system permease protein
Leaf155|64	WP_062423609.1	cds4357			
Leaf155|65	WP_062423616.1	cds4302	OG0001470		
Leaf155|66	WP_062423624.1	cds4291	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
Leaf155|67	WP_062423638.1	cds4273	OG0001944	K21394	yiaM; TRAP-type transport system small permease protein
Leaf155|68	WP_062423657.1	cds4253	OG0003391		
Leaf155|69	WP_062423663.1	cds4245	OG0003062	K07231	putative iron-regulated protein
