	flg_Col	flg_Kb	flg_FC	flg_DEG	OG	KO.id	KO.description
PSPTO_0001	9.61578813646135	9.71646462465441	-0.100676488193059	nonDEG	OG0000857	K02313	dnaA; chromosomal replication initiator protein
PSPTO_0002	8.27193032899437	9.2767309062892	-1.00480057729483	down	OG0000858	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
PSPTO_0003	7.31513614543229	7.13094905883746	0.18418708659483	nonDEG	OG0001170	K03629	recF; DNA replication and repair protein RecF
PSPTO_0004	9.66580127474554	8.33788390797874	1.3279173667668	up	OG0000213	K02470	gyrB; DNA gyrase subunit B [EC:5.99.1.3]
PSPTO_0005	4.63378141672264	6.05958307774032	-1.42580166101768	down	OG0002436	K03427	hsdM; type I restriction enzyme M protein [EC:2.1.1.72]
PSPTO_0006	4.95692165757581	5.15870617476431	-0.2017845171885	nonDEG	OG0004186	K01154	hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]
PSPTO_0007	2.68201513442862	3.43782245166729	-0.75580731723867	nonDEG			
PSPTO_0008	6.26288651060395	6.44674733172383	-0.18386082111988	nonDEG	OG0003733	K01153	hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]
PSPTO_0011	6.21975544502055	6.31318339914636	-0.0934279541258096	nonDEG	OG0000825	K07043	uncharacterized protein
PSPTO_0012	3.25040873548732	4.5360263514489	-1.28561761596158	nonDEG			
PSPTO_0015	5.39362843038982	4.24936731053253	1.14426111985729	nonDEG			
PSPTO_0016	5.70933918166517	6.22410888920744	-0.51476970754227	nonDEG			
PSPTO_0017	4.95183929968569	5.73612004396366	-0.78428074427797	nonDEG	OG0004146		
PSPTO_0021	7.25285593845638	7.64014036593141	-0.38728442747503	nonDEG	OG0007752		
PSPTO_0022	5.09527618480982	5.24800859091865	-0.15273240610883	nonDEG			
PSPTO_0023	3.74931248176104	4.92070085789345	-1.17138837613241	nonDEG			
PSPTO_0024	1.68064208509385	1.78485541992261	-0.10421333482876	nonDEG			
PSPTO_0025	5.55877542129706	5.25971347004833	0.29906195124873	nonDEG	OG0004867		
PSPTO_0026	3.65212752459822	5.09323481994849	-1.44110729535027	down			
PSPTO_0028	1.5418540133941	3.43425504373653	-1.89240103034243	down	OG0002408	K07497	putative transposase
PSPTO_0029	3.81836936754924	4.11155466811411	-0.29318530056487	nonDEG			
PSPTO_0030	3.94637140556458	5.21879858293399	-1.27242717736941	nonDEG			
PSPTO_0031	2.10654505829231	1.19682881797031	0.909716240322	nonDEG	OG0003322		
PSPTO_0032	2.25769304941123	2.86075437375968	-0.60306132434845	nonDEG	OG0007718		
PSPTO_0033	2.06844290653521	2.83850179146008	-0.77005888492487	nonDEG	OG0007719	K03497	parB; chromosome partitioning protein, ParB family
PSPTO_0035	3.15178262156447	5.12952441099872	-1.97774178943425	down	OG0000138		
PSPTO_0040	2.55093038742103	1.12072452152707	1.43020586589396	nonDEG	OG0000174		
PSPTO_0041	1.12758873056658	2.76004206748655	-1.63245333691997	nonDEG			
PSPTO_0043	7.28583474386553	8.50698124220329	-1.22114649833776	down	OG0005800	K01493	comEB; dCMP deaminase [EC:3.5.4.12]
PSPTO_0044	4.04277263148145	4.34516713019669	-0.30239449871524	nonDEG			
PSPTO_0045	5.03443425284361	6.01100345605822	-0.97656920321461	nonDEG			
PSPTO_0046	6.24089324635455	6.67985334861509	-0.43896010226054	nonDEG	OG0003587	K07459	ybjD; putative ATP-dependent endonuclease of the OLD family
PSPTO_0047	4.68772018118256	6.67187484886574	-1.98415466768318	down	OG0007079		
PSPTO_0048	5.662160564342	7.29675688868792	-1.63459632434592	down			
PSPTO_0049	6.57164310864203	6.5550644344745	0.0165786741675307	nonDEG	OG0007140		
PSPTO_0050	5.01843168409021	6.29344535916915	-1.27501367507894	down			
PSPTO_0051	4.88290787792092	6.50968344947774	-1.62677557155682	down			
PSPTO_0052	7.53907375949846	8.94412447353056	-1.4050507140321	down	OG0007721		
PSPTO_0053	3.83009913801875	5.44364604193181	-1.61354690391306	down	OG0007714		
PSPTO_0054	2.33548384537513	2.74951044914327	-0.41402660376814	nonDEG	OG0007729		
PSPTO_0057	4.87472960229934	6.06521109635662	-1.19048149405728	down	OG0005074		
PSPTO_0058	4.83936140029383	5.59808402011101	-0.758722619817179	nonDEG	OG0002408	K07497	putative transposase
PSPTO_0059	3.74176537676575	4.69299919947297	-0.95123382270722	nonDEG	OG0007720		
PSPTO_0061	8.75999753735544	4.1250936930957	4.63490384425974	up			
PSPTO_0062	8.0747252605888	5.85205605642399	2.22266920416481	up	OG0000482	K03300	TC.CITMHS; citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family
PSPTO_0063	4.57919894677865	3.57751762213989	1.00168132463876	nonDEG	OG0000350		
PSPTO_0064	10.3393268941998	9.27226417017268	1.06706272402712	up	OG0002962		
PSPTO_0065	7.2927747733739	6.70853605068266	0.584238722691239	nonDEG	OG0000846	K03655	recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]
PSPTO_0066	7.80506837148748	6.29832621500555	1.50674215648193	up	OG0000004	K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
PSPTO_0067	7.57663148516182	6.04391560255962	1.5327158826022	up	OG0003331	K03832	tonB; periplasmic protein TonB
PSPTO_0068	4.8557037957921	2.67136346280521	2.18434033298689	up	OG0000089	K03559	exbD; biopolymer transport protein ExbD
PSPTO_0069	8.08771883457852	4.29864605648561	3.78907277809291	up	OG0002653	K03561	exbB; biopolymer transport protein ExbB
PSPTO_0070	5.40663638378646	4.68596269926623	0.72067368452023	nonDEG	OG0001165		
PSPTO_0071	6.49078752430018	6.84865814134121	-0.35787061704103	nonDEG	OG0002652		
PSPTO_0072	6.84270006115996	7.81266007631777	-0.96996001515781	nonDEG	OG0000186	K09022	ridA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
PSPTO_0073	8.86997596679911	9.44317944383385	-0.57320347703474	nonDEG	OG0000306	K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]
PSPTO_0074	7.48498589190964	8.16406397099025	-0.67907807908061	nonDEG	OG0001792	K03060	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
PSPTO_0075	4.85013644121241	5.27600474217748	-0.42586830096507	nonDEG	OG0000845	K00942	E2.7.4.8; guanylate kinase [EC:2.7.4.8]
PSPTO_0076	5.92690198838289	6.38470811185718	-0.45780612347429	nonDEG	OG0001412		
PSPTO_0077	8.37096401154647	7.55497952139529	0.815984490151179	nonDEG	OG0001283	K00989	rph; ribonuclease PH [EC:2.7.7.56]
PSPTO_0078	4.1520008534029	5.76636052239327	-1.61435966899037	down	OG0001977	K09940	uncharacterized protein
PSPTO_0079	7.67672226088779	8.48391237639293	-0.807190115505139	nonDEG	OG0001282	K01142	E3.1.11.2; exodeoxyribonuclease III [EC:3.1.11.2]
PSPTO_0080	6.39564226238688	5.92649956421766	0.46914269816922	nonDEG	OG0000724	K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
PSPTO_0081	6.99886819903337	7.12468053580312	-0.12581233676975	nonDEG	OG0006476		
PSPTO_0082	5.94294072632742	5.9458744014757	-0.00293367514828002	nonDEG	OG0000844	K00930	argB; acetylglutamate kinase [EC:2.7.2.8]
PSPTO_0083	9.77581556668757	8.4218179586229	1.35399760806467	up	OG0000212	K03431	glmM; phosphoglucosamine mutase [EC:5.4.2.10]
PSPTO_0084	4.12810146085628	6.05801771641447	-1.92991625555819	down	OG0001281	K01520	dut; dUTP pyrophosphatase [EC:3.6.1.23]
PSPTO_0085	8.12753815390903	9.10969136410218	-0.982153210193148	nonDEG	OG0000843	K13038	coaBC; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
PSPTO_0086	3.69578287940164	4.64435967141711	-0.94857679201547	nonDEG	OG0000427	K03630	radC; DNA repair protein RadC
PSPTO_0087	7.39256838630313	7.63213217989013	-0.239563793587	nonDEG	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
PSPTO_0089	8.38094929606835	11.5177585290136	-3.13680923294525	down	OG0001025	K02902	RP-L28; large subunit ribosomal protein L28
PSPTO_0090	3.15960638960838	6.4913645039297	-3.33175811432132	down	OG0000723	K02913	RP-L33; large subunit ribosomal protein L33
PSPTO_0091	8.20449496803741	8.23930247591946	-0.03480750788205	nonDEG	OG0000542	K06995	uncharacterized protein
PSPTO_0092	8.97165884328405	8.08937245056142	0.88228639272263	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PSPTO_0094	4.14501842644801	4.62138035712199	-0.47636193067398	nonDEG	OG0001976		
PSPTO_0095	5.72357995854209	7.15303004397036	-1.42945008542827	down	OG0001164	K06132	clsC; cardiolipin synthase C [EC:2.7.8.-]
PSPTO_0096	6.11472591779134	5.68320991433983	0.43151600345151	nonDEG	OG0000079	K05825	LYSN; 2-aminoadipate transaminase [EC:2.6.1.-]
PSPTO_0097	8.27530774037689	3.88545972490808	4.38984801546881	up	OG0002961		
PSPTO_0098	5.34431972459658	6.3588495802733	-1.01452985567672	down	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
PSPTO_0099	4.92681992511283	5.6144317824368	-0.68761185732397	nonDEG	OG0003330	K06940	uncharacterized protein
PSPTO_0100	3.85256847532265	4.63136499809695	-0.7787965227743	nonDEG	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
PSPTO_0101	9.61849722383858	11.1128066571303	-1.49430943329172	down	OG0000136	K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
PSPTO_0102	6.29376751147568	7.53548876031856	-1.24172124884288	down	OG0000829		
