Cluster	Random example of a gene member (IMG gene ID locus_tag product [organism])	Phylogenetic Diversity	Total # Genes	# PA Genes	# NPA Genes	# RA genes	# Soil Genes	Is PA? (Hyperg Gene Copy Number)	Is PA? (Hyperg Gene Presence Absence)	Is PA? (PhyloGLM Gene Copy Number)	Is PA? (PhyloGLM Gene Presence Absence)	Is PA? (Scoary)	Is NPA? (Hyperg Gene Copy Number)	Is NPA? (Hyperg Gene Presence Absence)	Is NPA? (PhyloGLM Gene Copy Number)	Is NPA? (PhyloGLM Gene Presence Absence)	Is NPA? (Scoary)	Is RA? (Hyperg Gene Copy Number)	Is RA? (Hyperg Gene Presence Absence)	Is RA? (PhyloGLM Gene Copy Number)	Is RA? (PhyloGLM Gene Presence Absence)	Is RA? (Scoary)	Is soil? (Hyperg Gene Copy Number)	Is soil? (Hyperg Gene Presence Absence)	Is soil? (PhyloGLM Gene Copy Number)	Is soil? (PhyloGLM Gene Presence Absence)	Is soil? (Scoary)
KO:K00001	2595527502 FF89DRAFT_05110 alcohol dehydrogenase [Mycobacterium sp. UNC267MFSha1.1M11]	0.09559	1265	78	1052	50	135	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	N	N	N	N	N	N	N
KO:K00003	2595528122 FF89DRAFT_05732 homoserine dehydrogenase [Mycobacterium sp. UNC267MFSha1.1M11]	0.09948	590	31	527	20	32	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00004	"2642658168 Ga0073242_3596 (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [Mycobacterium sp. 88MF]"	0.25173	102	38	33	22	31	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00005	2552090650 NoneDRAFT_04968 glycerol dehydrogenase [Nocardia exalbida NBRC 100660]	0.04886	6	0	6	0	0	N	N	Untested	Untested	N	N	N	Untested	Untested	N	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested	Untested
KO:K00008	2645689339 Ga0102449_112525 L-iditol 2-dehydrogenase [Rhodococcus sp. Leaf233]	0.25137	187	48	63	30	76	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00010	2563417377 BR31DRAFT_01299 myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [Rhodococcus sp. UNC363MFTsu5.1]	0.23314	203	65	65	39	73	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00012	2644485974 Ga0102131_101681 UDPglucose 6-dehydrogenase [Mycobacterium sp. Root135]	0.0953	682	45	583	30	54	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	N	N	N	N	N	N	N
KO:K00013	2598243135 Ga0053404_03452 histidinol dehydrogenase [Rhodococcus erythropolis R138]	0.09948	593	31	530	19	32	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00014	2645698494 Ga0102451_117177 shikimate dehydrogenase [Rhodococcus sp. Leaf258]	0.10061	744	74	573	47	97	Y	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00015	2645694392 Ga0102450_1538 glyoxylate reductase [Rhodococcus sp. Leaf247]	0.12964	26	10	6	4	10	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00016	2595300105 FG18DRAFT_00539 L-lactate dehydrogenase [Rhodococcus sp. 164Chir2E]	0.17142	30	4	14	2	12	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00019	2520481557 G416DRAFT_00093 3-hydroxybutyrate dehydrogenase [Rhodococcus sp. 29MFTsu3.1]	0.2469	100	24	44	15	32	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00020	2642656133 Ga0073242_1558 3-hydroxyisobutyrate dehydrogenase [Mycobacterium sp. 88MF]	0.09892	1146	67	1008	36	71	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	N	N	N	N	N	N	N
