	avr_Col	avr_Kb	avr_FC	avr_DEG	OG	KO.id	KO.description
PSPTO_0001	11.1438318844699	9.88241591486218	1.26141596960772	up	OG0000857	K02313	dnaA; chromosomal replication initiator protein
PSPTO_0002	9.08048100449592	9.30298373810494	-0.222502733609019	nonDEG	OG0000858	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
PSPTO_0003	8.64977507336656	6.97487625726366	1.6748988161029	up	OG0001170	K03629	recF; DNA replication and repair protein RecF
PSPTO_0004	10.2560632926371	8.34080061442577	1.91526267821133	up	OG0000213	K02470	gyrB; DNA gyrase subunit B [EC:5.99.1.3]
PSPTO_0005	5.91314799944159	5.88352387870979	0.0296241207318007	nonDEG	OG0002436	K03427	hsdM; type I restriction enzyme M protein [EC:2.1.1.72]
PSPTO_0006	5.09231568144039	4.95461273879364	0.13770294264675	nonDEG	OG0004186	K01154	hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]
PSPTO_0007	3.47289071776632	3.84615618928742	-0.3732654715211	nonDEG			
PSPTO_0008	6.25564684059217	6.5400214799521	-0.28437463935993	nonDEG	OG0003733	K01153	hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]
PSPTO_0011	5.48853809932594	6.04259087069888	-0.55405277137294	nonDEG	OG0000825	K07043	uncharacterized protein
PSPTO_0012	3.14846762974852	4.31279432925838	-1.16432669950986	down			
PSPTO_0015	3.33478814805178	4.75717062262395	-1.42238247457217	nonDEG			
PSPTO_0016	3.86881700425717	6.00299902079886	-2.13418201654169	down			
PSPTO_0017	4.3405996752125	5.65866545671233	-1.31806578149983	down	OG0004146		
PSPTO_0021	5.84521531248506	7.64221446697063	-1.79699915448557	down	OG0007752		
PSPTO_0022	5.89735274809364	5.32955661066944	0.5677961374242	nonDEG			
PSPTO_0023	5.17584581757663	4.786984226354	0.38886159122263	nonDEG			
PSPTO_0024	1.27220411133692	1.16442270848976	0.10778140284716	nonDEG			
PSPTO_0025	4.15007921587358	4.66080056887787	-0.51072135300429	nonDEG	OG0004867		
PSPTO_0026	4.88594558163387	5.2684382538775	-0.38249267224363	nonDEG			
PSPTO_0028	1.74113855687659	2.924715259396	-1.18357670251941	down	OG0002408	K07497	putative transposase
PSPTO_0029	3.28912173754698	4.23699890355756	-0.94787716601058	nonDEG			
PSPTO_0030	3.78467283313468	4.50850567832274	-0.72383284518806	nonDEG			
PSPTO_0031	1.51131818919708	2.38928713822175	-0.87796894902467	nonDEG	OG0003322		
PSPTO_0032	2.82943594221171	3.073850654516	-0.24441471230429	nonDEG	OG0007718		
PSPTO_0033	1.07773899519804	2.14864302903841	-1.07090403384037	nonDEG	OG0007719	K03497	parB; chromosome partitioning protein, ParB family
PSPTO_0035	3.60309033890377	5.4543340259685	-1.85124368706473	down	OG0000138		
PSPTO_0040	2.43915233721622	3.15282480810458	-0.71367247088836	nonDEG	OG0000174		
PSPTO_0041	1.74890340621233	3.54397000913329	-1.79506660292096	nonDEG			
PSPTO_0043	6.06547332058166	8.31221872310976	-2.2467454025281	down	OG0005800	K01493	comEB; dCMP deaminase [EC:3.5.4.12]
PSPTO_0044	5.40527613708215	4.35744164306334	1.04783449401881	nonDEG			
PSPTO_0045	5.03583148758826	6.50363769164657	-1.46780620405831	down			
PSPTO_0046	6.03180050723938	6.31156412729774	-0.27976362005836	nonDEG	OG0003587	K07459	ybjD; putative ATP-dependent endonuclease of the OLD family
PSPTO_0047	5.39838831457066	6.85948193981068	-1.46109362524002	down	OG0007079		
PSPTO_0048	6.36337818820712	7.39496428153694	-1.03158609332982	down			
PSPTO_0049	5.52340996773937	6.26904046252947	-0.7456304947901	nonDEG	OG0007140		
PSPTO_0050	5.29568326727081	6.20187299537322	-0.90618972810241	nonDEG			
PSPTO_0051	4.8790286944709	6.37556449198113	-1.49653579751023	down			
PSPTO_0052	7.21918385397198	8.62590317198724	-1.40671931801526	down	OG0007721		
PSPTO_0053	4.14224008677982	4.97386206504336	-0.83162197826354	nonDEG	OG0007714		
PSPTO_0054	2.53043345621951	3.48287554420691	-0.9524420879874	nonDEG	OG0007729		
PSPTO_0057	4.41984154342679	5.71429646221957	-1.29445491879278	down	OG0005074		
