Cluster	Random example of a gene member (IMG gene ID locus_tag product [organism])	Phylogenetic Diversity	Total # Genes	# PA Genes	# NPA Genes	# RA genes	# Soil Genes	Is PA? (Hyperg Gene Copy Number)	Is PA? (Hyperg Gene Presence Absence)	Is PA? (PhyloGLM Gene Copy Number)	Is PA? (PhyloGLM Gene Presence Absence)	Is PA? (Scoary)	Is NPA? (Hyperg Gene Copy Number)	Is NPA? (Hyperg Gene Presence Absence)	Is NPA? (PhyloGLM Gene Copy Number)	Is NPA? (PhyloGLM Gene Presence Absence)	Is NPA? (Scoary)	Is RA? (Hyperg Gene Copy Number)	Is RA? (Hyperg Gene Presence Absence)	Is RA? (PhyloGLM Gene Copy Number)	Is RA? (PhyloGLM Gene Presence Absence)	Is RA? (Scoary)	Is soil? (Hyperg Gene Copy Number)	Is soil? (Hyperg Gene Presence Absence)	Is soil? (PhyloGLM Gene Copy Number)	Is soil? (PhyloGLM Gene Presence Absence)	Is soil? (Scoary)
KO:K00001	2514095337 XOC_1516 alcohol dehydrogenase [Xanthomonas oryzae pv. oryzicola BLS256]	0.01281	59	54	4	2	1	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	Untested	N	N	N	N	Untested
KO:K00003	2598095765 Ga0035120_02957 homoserine dehydrogenase [Xanthomonas alfalfae alfalfae CFBP 3836]	0.14076	105	84	17	15	4	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00010	2643831697 Ga0102165_115190 myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [Rhodanobacter sp. Root561]	0.30001	29	24	4	22	1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00012	2587422097 EX88DRAFT_03108 UDPglucose 6-dehydrogenase [Lysobacter antibioticus 13-6]	0.22021	207	162	31	34	14	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00013	2510349085 XFFB7_00012600 histidinol dehydrogenase [Xylella fastidiosa Fb7]	0.21967	147	111	25	26	11	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00014	2549901434 KWIDRAFT_01552 shikimate dehydrogenase [Xanthomonas vasicola pv. vasculorum NCPPB 206]	0.22021	154	113	30	28	11	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00019	2580818014 X783DRAFT_02035 3-hydroxybutyrate dehydrogenase [Xanthomonas arboricola 3004]	0.21773	129	96	22	26	11	N	N	N	N	N	N	N	N	N	N	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00020	2595448493 FG06DRAFT_2829 3-hydroxyisobutyrate dehydrogenase [Luteibacter sp. UNCMF366Tsu5.1]	0.14532	122	97	15	25	10	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00023	2644936377 Ga0102301_106462 acetoacetyl-CoA reductase [Stenotrophomonas sp. Leaf70]	0.20677	256	199	41	47	16	N	Y	N	Untested	N	N	N	N	Untested	N	N	N	N	N	N	N	N	N	N	N
KO:K00024	2595452523 FG09DRAFT_3179 malate dehydrogenase [Luteibacter sp. UNCMF331Sha3.1]	0.21824	145	110	24	26	11	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00029	2612376325 Ga0056854_1128 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [Xanthomonas arboricola pv. celebensis NCPPB 1832]	0.22021	155	118	26	30	11	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00030	2609550848 Ga0066746_1526 isocitrate dehydrogenase (NAD+) [Dyella sp. OK004]	0.21716	144	110	23	26	11	N	Y	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	Untested	N	N	Untested	Untested	Untested
KO:K00031	2596858623 IP90DRAFT_03168 isocitrate dehydrogenase [Luteimonas cucumeris CGMCC 1.10821]	0.22021	152	112	28	27	12	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00033	2595445817 FG06DRAFT_0151 6-phosphogluconate dehydrogenase [Luteibacter sp. UNCMF366Tsu5.1]	0.17979	133	105	20	35	8	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00034	2644478569 Ga0102129_1323 glucose 1-dehydrogenase [Rhodanobacter sp. Root480]	0.10522	7	4	1	2	2	N	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested
