Cluster	Random example of a gene member (IMG gene ID locus_tag product [organism])	Phylogenetic Diversity	Total # Genes	# PA Genes	# NPA Genes	# RA genes	# Soil Genes	Is PA? (Hyperg Gene Copy Number)	Is PA? (Hyperg Gene Presence Absence)	Is PA? (PhyloGLM Gene Copy Number)	Is PA? (PhyloGLM Gene Presence Absence)	Is PA? (Scoary)	Is NPA? (Hyperg Gene Copy Number)	Is NPA? (Hyperg Gene Presence Absence)	Is NPA? (PhyloGLM Gene Copy Number)	Is NPA? (PhyloGLM Gene Presence Absence)	Is NPA? (Scoary)	Is RA? (Hyperg Gene Copy Number)	Is RA? (Hyperg Gene Presence Absence)	Is RA? (PhyloGLM Gene Copy Number)	Is RA? (PhyloGLM Gene Presence Absence)	Is RA? (Scoary)	Is soil? (Hyperg Gene Copy Number)	Is soil? (Hyperg Gene Presence Absence)	Is soil? (PhyloGLM Gene Copy Number)	Is soil? (PhyloGLM Gene Presence Absence)	Is soil? (Scoary)
KO:K00001	2517023999 B014DRAFT_05794 alcohol dehydrogenase [Burkholderia sp. WSM4176]	0.43529	484	213	180	117	91	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00003	2522929783 H960DRAFT_05496 homoserine dehydrogenase [Burkholderia sp. URHA0054]	0.45087	498	205	222	108	71	N	N	Y	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00004	"2509520084 BurcepDRAFT_6626 (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [Burkholderia cepacia UCB 717, ATCC 25416]"	0.12386	110	46	40	16	24	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00005	2643863405 Ga0102172_10722 glycerol dehydrogenase [Achromobacter sp. Root565]	0.44405	36	10	18	4	8	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00007	2616334071 Ga0066730_113122 D-arabinitol 4-dehydrogenase [Burkholderia sp. YR520]	0.33995	232	108	91	56	33	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00008	642424322 BgramDRAFT_3456 Alcohol dehydrogenase GroES domain protein [Burkholderia graminis C4D1M]	0.09652	168	55	83	28	30	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00010	2513564395 A19UDRAFT_04980 myo-inositol 2-dehydrogenase [Burkholderia mimosarum LMG 23256]	0.09834	361	145	155	52	61	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00011	2514029283 A3A5DRAFT_04262 aldehyde reductase [Cupriavidus sp. UYPR2.512]	0.01701	10	6	2	6	2	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00012	649886272 Varpa_3050 nucleotide sugar dehydrogenase [Variovorax paradoxus EPS]	0.42529	544	198	250	107	96	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00013	2616212577 Ga0070130_112116 histidinol dehydrogenase [Cupriavidus sp. OV096]	0.44632	432	163	203	87	66	N	N	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00014	2514029305 A3A5DRAFT_04284 shikimate dehydrogenase [Cupriavidus sp. UYPR2.512]	0.44352	971	423	376	233	172	Y	Y	Y	Untested	N	N	N	N	Untested	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
KO:K00015	2609804855 Ga0070537_11144 glyoxylate reductase [Collimonas sp. OK242]	0.33593	53	15	25	9	13	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00016	2552974881 C762DRAFT_03440 L-lactate dehydrogenase [Herbaspirillum seropedicae Os45]	0.42637	123	33	67	20	23	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00018	2611611616 Ga0055059_106125 glycerate dehydrogenase [Burkholderia cenocepacia 869T2]	0.38124	120	47	35	27	38	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
KO:K00019	2645401157 Ga0102355_123171 3-hydroxybutyrate dehydrogenase [Duganella sp. Leaf126]	0.44242	730	276	324	144	130	N	Y	N	Untested	N	N	N	N	Untested	N	N	N	N	Untested	Untested	N	N	N	Untested	Untested
