	MM_Col	MM_Kb	MM_FC	MM_DEG	OG	KO.id	KO.description
PSPTO_0001	8.79670543160653	9.71646462465441	-0.919759193047881	nonDEG	OG0000857	K02313	dnaA; chromosomal replication initiator protein
PSPTO_0002	8.95042425106013	9.2767309062892	-0.32630665522907	nonDEG	OG0000858	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
PSPTO_0003	6.36875056128578	7.13094905883746	-0.76219849755168	nonDEG	OG0001170	K03629	recF; DNA replication and repair protein RecF
PSPTO_0004	7.63825976966482	8.33788390797874	-0.699624138313921	nonDEG	OG0000213	K02470	gyrB; DNA gyrase subunit B [EC:5.99.1.3]
PSPTO_0005	5.71514855185729	6.05958307774032	-0.34443452588303	nonDEG	OG0002436	K03427	hsdM; type I restriction enzyme M protein [EC:2.1.1.72]
PSPTO_0006	4.91026003724281	5.15870617476431	-0.2484461375215	nonDEG	OG0004186	K01154	hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]
PSPTO_0007	3.29226714378419	3.43782245166729	-0.1455553078831	nonDEG			
PSPTO_0008	6.11104834688326	6.44674733172383	-0.33569898484057	nonDEG	OG0003733	K01153	hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]
PSPTO_0011	5.82693770120555	6.31318339914636	-0.48624569794081	nonDEG	OG0000825	K07043	uncharacterized protein
PSPTO_0012	4.06048421780687	4.5360263514489	-0.47554213364203	nonDEG			
PSPTO_0015	4.66226366077146	4.24936731053253	0.41289635023893	nonDEG			
PSPTO_0016	6.20882496244199	6.22410888920744	-0.0152839267654503	nonDEG			
PSPTO_0017	5.63777757620074	5.73612004396366	-0.0983424677629197	nonDEG	OG0004146		
PSPTO_0021	7.52010408641696	7.64014036593141	-0.120036279514451	nonDEG	OG0007752		
PSPTO_0022	6.08251595441264	5.24800859091865	0.834507363493991	nonDEG			
PSPTO_0023	5.4547545269195	4.92070085789345	0.534053669026051	nonDEG			
PSPTO_0024	2.21775354613372	1.78485541992261	0.43289812621111	nonDEG			
PSPTO_0025	5.82236820960295	5.25971347004833	0.56265473955462	nonDEG	OG0004867		
PSPTO_0026	5.09888771762786	5.09323481994849	0.0056528976793695	nonDEG			
PSPTO_0028	3.70578126943157	3.43425504373653	0.27152622569504	nonDEG	OG0002408	K07497	putative transposase
PSPTO_0029	4.07115956424094	4.11155466811411	-0.0403951038731698	nonDEG			
