KO	category-1	category-2	category-3	category-4	N of genes
K00003	Metabolism	Cysteine and methionine metabolism	Cysteine and methionine metabolism	hom; homoserine dehydrogenase [EC:1.1.1.3]	2
K00003	Metabolism	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	hom; homoserine dehydrogenase [EC:1.1.1.3]	2
K00003	Metabolism	Lysine biosynthesis	Lysine biosynthesis	hom; homoserine dehydrogenase [EC:1.1.1.3]	2
K00012	Metabolism	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	1
K00012	Metabolism	Ascorbate and aldarate metabolism	Ascorbate and aldarate metabolism	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	1
K00012	Metabolism	Pentose and glucuronate interconversions	Pentose and glucuronate interconversions	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	1
K00013	Metabolism	Histidine metabolism	Histidine metabolism	hisD; histidinol dehydrogenase [EC:1.1.1.23]	1
K00014	Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	aroE; shikimate dehydrogenase [EC:1.1.1.25]	1
K00020	Metabolism	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	3
K00024	Metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00024	Metabolism	Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00024	Metabolism	Pyruvate metabolism	Pyruvate metabolism	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00024	Metabolism	Carbon fixation in photosynthetic organisms	Carbon fixation in photosynthetic organisms	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00024	Metabolism	Carbon fixation pathways in prokaryotes	Carbon fixation pathways in prokaryotes	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00024	Metabolism	Methane metabolism	Methane metabolism	mdh; malate dehydrogenase [EC:1.1.1.37]	1
K00024	Metabolism	Cysteine and methionine metabolism	Cysteine and methionine metabolism	mdh; malate dehydrogenase [EC:1.1.1.37]	1
