	D36E_Col	D36E_Kb	D36E_FC	D36E_DEG	OG	KO.id	KO.description
PSPTO_0001	9.00709655644751	9.61024464470596	-0.60314808825845	nonDEG	OG0000857	K02313	dnaA; chromosomal replication initiator protein
PSPTO_0002	7.2492609710898	9.28922900861211	-2.03996803752231	down	OG0000858	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
PSPTO_0003	7.33342211788994	6.60399050008542	0.72943161780452	nonDEG	OG0001170	K03629	recF; DNA replication and repair protein RecF
PSPTO_0004	8.38585482553556	8.28730564097688	0.0985491845586797	nonDEG	OG0000213	K02470	gyrB; DNA gyrase subunit B [EC:5.99.1.3]
PSPTO_0005	4.85127214127098	5.96465669348234	-1.11338455221136	down	OG0002436	K03427	hsdM; type I restriction enzyme M protein [EC:2.1.1.72]
PSPTO_0006	3.72800152446568	4.86135027369691	-1.13334874923123	nonDEG	OG0004186	K01154	hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]
PSPTO_0007	1.73021425144426	3.56033022094786	-1.8301159695036	nonDEG			
PSPTO_0008	5.84574198496875	6.46226216087213	-0.616520175903379	nonDEG	OG0003733	K01153	hsdR; type I restriction enzyme, R subunit [EC:3.1.21.3]
PSPTO_0011	7.26524391145382	6.92213849650808	0.34310541494574	nonDEG	OG0000825	K07043	uncharacterized protein
PSPTO_0012	4.41355109366137	4.94913967992398	-0.53558858626261	nonDEG			
PSPTO_0015	4.81051012367048	4.45635698755729	0.35415313611319	nonDEG			
PSPTO_0016	5.67145724739387	6.16576291551095	-0.49430566811708	nonDEG			
PSPTO_0017	4.20743148843476	5.52081748437463	-1.31338599593987	down	OG0004146		
PSPTO_0021	6.79050377994363	7.90823273840855	-1.11772895846492	down	OG0007752		
PSPTO_0022	5.3174719298302	5.86035263954897	-0.54288070971877	nonDEG			
PSPTO_0023	4.89454757459409	4.85183656211248	0.0427110124816101	nonDEG			
PSPTO_0024	1.71590077426478	1.68306475817551	0.03283601608927	nonDEG			
PSPTO_0025	4.63290747989362	5.11785517445069	-0.48494769455707	nonDEG	OG0004867		
PSPTO_0026	4.55921486127941	5.11122242666883	-0.552007565389419	nonDEG			
PSPTO_0028	1.44606053239038	3.92917117159493	-2.48311063920455	down	OG0002408	K07497	putative transposase
PSPTO_0029	1.45222158217701	4.36399802730692	-2.91177644512991	down			
PSPTO_0030	3.67777702019726	4.87078120745962	-1.19300418726236	nonDEG			
PSPTO_0031	0.838904199623437	1.29034506137254	-0.451440861749103	nonDEG	OG0003322		
PSPTO_0032	4.11700186307235	2.57565180366977	1.54135005940258	nonDEG	OG0007718		
PSPTO_0033	1.21238400965953	1.49511599413429	-0.28273198447476	nonDEG	OG0007719	K03497	parB; chromosome partitioning protein, ParB family
PSPTO_0035	4.23054784509385	4.84461887347146	-0.614071028377611	nonDEG	OG0000138		
PSPTO_0040	1.71421729950202	1.27173835717677	0.44247894232525	nonDEG	OG0000174		
PSPTO_0041	2.16890131381513	2.86303342750282	-0.69413211368769	nonDEG			
PSPTO_0043	7.63611439355579	8.26886818384036	-0.632753790284569	nonDEG	OG0005800	K01493	comEB; dCMP deaminase [EC:3.5.4.12]
PSPTO_0044	-0.123365786815665	-2.13062235571503	2.00725656889937	nonDEG			
PSPTO_0045	3.08035839995201	5.39084380897535	-2.31048540902334	down			
PSPTO_0046	5.38900699419866	5.9113687430671	-0.52236174886844	nonDEG	OG0003587	K07459	ybjD; putative ATP-dependent endonuclease of the OLD family
PSPTO_0047	5.14765403204242	6.62867301351876	-1.48101898147634	down	OG0007079		
PSPTO_0048	5.6477267013243	6.62026280905487	-0.972536107730569	nonDEG			
PSPTO_0049	5.70261698355843	5.53120007048542	0.17141691307301	nonDEG	OG0007140		
PSPTO_0050	4.9291529548436	5.81123731385625	-0.88208435901265	nonDEG			
