	WP_id	cds	OG	KO id	KO description
Leaf177|1	WP_004197638.1	cds1274	OG0000688	K02078	acpP; acyl carrier protein
Leaf177|2	WP_004199844.1	cds1644	OG0001127	K02919	RP-L36; large subunit ribosomal protein L36
Leaf177|3	WP_006052212.1	cds1633	OG0001096	K02874	RP-L14; large subunit ribosomal protein L14
Leaf177|4	WP_006052224.1	cds1646	OG0001087	K02948	RP-S11; small subunit ribosomal protein S11
Leaf177|5	WP_006478046.1	cds173	OG0000723	K02913	RP-L33; large subunit ribosomal protein L33
Leaf177|6	WP_006998755.1	cds3028	OG0001238	K02914	RP-L34; large subunit ribosomal protein L34
Leaf177|7	WP_006999077.1	cds5114	OG0001243	K02970	RP-S21; small subunit ribosomal protein S21
Leaf177|8	WP_007585475.1	cds5072	OG0001003	K02887	RP-L20; large subunit ribosomal protein L20
Leaf177|9	WP_013342881.1	cds4671	OG0003149	K06135	pqqA; pyrroloquinoline quinone biosynthesis protein A
Leaf177|10	WP_017772379.1	cds2985	OG0000901	K03569	mreB; rod shape-determining protein MreB and related proteins
Leaf177|11	WP_025527884.1	cds1550	OG0001401		
Leaf177|12	WP_027819582.1	cds1128	OG0001383	K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
Leaf177|13	WP_031356421.1	cds4896	OG0001697	K03666	hfq; host factor-I protein
Leaf177|14	WP_031356443.1	cds4921	OG0000092	K03671	trxA; thioredoxin 1
Leaf177|15	WP_031356584.1	cds3444	OG0000042	K03704	cspA; cold shock protein (beta-ribbon, CspA family)
Leaf177|16	WP_031357026.1	cds2927	OG0000027	K03719	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
Leaf177|17	WP_031357080.1	cds2864	OG0001243	K02970	RP-S21; small subunit ribosomal protein S21
Leaf177|18	WP_031357523.1	cds1758	OG0000276	K13628	iscA; iron-sulfur cluster assembly protein
Leaf177|19	WP_031357525.1	cds1760	OG0000899	K02871	RP-L13; large subunit ribosomal protein L13
Leaf177|20	WP_031357567.1	cds1802	OG0000186	K09022	ridA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
Leaf177|21	WP_031357600.1	cds2722	OG0003692	K06023	hprK; HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]
Leaf177|22	WP_031358965.1	cds5045			
Leaf177|23	WP_031359004.1	cds5073	OG0001002	K02916	RP-L35; large subunit ribosomal protein L35
Leaf177|24	WP_031359151.1	cds288	OG0001792	K03060	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
Leaf177|25	WP_031359567.1	cds57	OG0000887	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
Leaf177|26	WP_031359828.1	cds141	OG0001263	K06891	clpS; ATP-dependent Clp protease adaptor protein ClpS
Leaf177|27	WP_031359861.1	cds174	OG0001025	K02902	RP-L28; large subunit ribosomal protein L28
Leaf177|28	WP_031360677.1	cds1119	OG0001377	K00340	nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
Leaf177|29	WP_031360698.1	cds1361	OG0001194	K03590	ftsA; cell division protein FtsA
Leaf177|30	WP_031361566.1	cds1640	OG0000957	K02988	RP-S5; small subunit ribosomal protein S5
Leaf177|31	WP_031361569.1	cds1637	OG0001092	K02994	RP-S8; small subunit ribosomal protein S8
Leaf177|32	WP_031361570.1	cds1636	OG0001093	K02954	RP-S14; small subunit ribosomal protein S14
Leaf177|33	WP_031361576.1	cds1630	OG0000960	K02878	RP-L16; large subunit ribosomal protein L16
